Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7211.0,7211,51-4072 
Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,7222.0,7222,51-4192
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,9333.0,9333,53-7121
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,4226.0,4226,43-4171
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2513.0,2513,15-1134 
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2513.0,2513,15-1134 
Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,8219.0,8219,51-2099
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,2166.0,2166,27-1024
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2166.0,2166,27-1024
Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,2163.0,2163,27-1029
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2633.0,2633,19-3099
General Subject Basic Education Teacher,Education,Primary/elementary education,Higher Education,Yes,No,2330.0,2330,25-2031
General Subject High School Teacher,Education,Secondary/high school education,Higher Education,Yes,No,2330.0,2330,25-2031
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,3131.0,3131,51-8013
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,2114.0,2114,19-2043
Geriatric Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,3511.0,3511,43-9011
Global Programs Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2423.0,2423,21-1012 
Gondola Tenders,Construction,Other specialized construction activities,Not Higher Education,No,No,8343.0,8343,53-7041
Government Program Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2423.0,2423,21-1012 
Government Records Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,4110.0,4110,43-9061 
Graphic Designer,Information and Communication,Other information service activities,Higher Education,No,No,2513.0,2513,15-1134 
Green Coffee Beans Processor,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,6117.0,6112,45-2091
Ground Operations Crew Member,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,5111.0,5111,53-6061
GTAW/TIG Welder,Construction,Other specialized construction activities,Not Higher Education,No,No,7212.0,7212,51-4122 
Guest Relations Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,4224.0,4224,43-4081
Hairdresser,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5141.0,5141,39-5012
Halal Compliance Specialist,Manufacturing,Manufacture of other food products,Higher Education,No,No,2632.0,2632,19-3092
Halal Seaweed Processing Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,6222.0,6221 p,51-9199
Halal Slaughterer,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 
Handloom Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7318.0,7318,51-6041
Hatchery Farm Worker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,6225.0,6221 p,45-2093
HDD FOL Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,8212.0,8212,51-9194
Health and Safety Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2263.0,2263,29-9011 
Health Information Management Technician,Information and Communication,"Data processing, hosting and related activities; web portals (if digitized records)OR Other information service activities (if part of IT-BPM support to healthcare)",Higher Education,No,Yes,3252.0,3252,29-2071 
Health Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3256.0,3256,31-9092
Health Promotion Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,2269.0,2269,29-9092 
Health Services Clerk,Human Health and Social Work Activities,Human Health Activities,Higher Education,No,Yes,3252.0,3252,29-2071 
Heat Treater,Manufacturing                                                ,Manufacture of basic iron and steel,Not Higher Education,No,No,3133.0,3133,51-8091
Heavy Equipment Mechanic,Construction,Other specialized construction activities,Not Higher Education,No,No,7233.0,7233,49-9081
Heavy Equipment Operator (High School),Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
Herbal Remedies Research Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,3230.0,3230,29-9099
Heritage Planner,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,2621.0,2621,25-4012
Heritage Site Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,5113.0,5113,39-7012
Heritage Tourism Operator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3339.0,3339,41-9099 
Heritage Tradesperson / Heritage Conservation Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3433.0,3433,27-1012 
High School Science Teacher,Education,Secondary/high school education,Higher Education,Yes,No,4411.0,4411,43-4121
History Lecturer,Education,Higher education,Higher Education,No,No,2633.0,2633,19-3099
Home Economics Extension Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
Home-Based Birth Assistant (Registered Midwife),Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,3222.0,3222,29-9099
Horse Riding Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,3423.0,3423,39-9031
Horticulture Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,No,Yes,3142.0,3142,19-4011
Hospital Administration Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3344.0,3344,43-6013
Hospital Caregiver,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,5321.0,5321,31-1014 
Hospital Nursing Aide,Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,5321.0,5321,31-1014 
Hospital Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2262.0,2262,29-1051
Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2511.0,2511,15-1121
Hotel Cleaners,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,9112.0,9112,53-7061
Hotel Duty Engineer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,Yes,No,2149.0,2149,17-2199
Hotel Maintenance,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,7411.0,7411,47-2231
Hotel Receptionist,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,4226.0,4226,43-4171
Hotel Services Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,5151.0,5151,37-1011 
Household Equipment Technician,Other Service Activities,Repair of personal and household goods,Higher Education,No,Yes,7421.0,7421,49-2096
Housekeeping Attendant,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,5151.0,5151,37-1011 
HR Assistants / Timekeepers (Construction),Construction,Construction of buildings,Higher Education,No,No,4416.0,4416,43-4161 
HR Business Partner,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
HR Operations and Technology Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
Human Resource Assistant (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4416.0,4416,43-4161 
Human Resource Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,2423.0,2423,21-1012 
Human Resource Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4416.0,4416,43-4161 
Humanitarian Affairs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,2635.0,2635,21-1099
Humanities Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2310.0,2310,25-1199
HVAC Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Higher Education,No,Yes,3115.0,3115,17-3029
Hydraulic Excavator Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
IC Designer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,2152.0,2152,17-2072 
Ice Plant Refrigeration Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
Import Coordinator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,3331.0,3331,43-5071 
Import/Export Documentation Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,3351.0,3351,33-3051
Industrial Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,3115.0,3115,17-3029
Industrial Chemist (Licensed),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,2113.0,2113,19-2032
Industrial Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,7411.0,7411,47-2231
Industrial Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
Industrial Refrigeration Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
Industrial Scheduler,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,8211.0,8211,51-2031
Infrastructure Support Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,3513.0,3513,15-1152 
Inland Water Fisheries Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,2132.0,2132,25-9021
Institutional Catering Assistant,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,Yes,5246.0,5246,35-9011 
Instrumental Music Teacher,Education,Other education services,Higher Education,Yes,No,2354.0,2354,25-3021
Instrumentation And Automation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,3119.0,3119,53-6041
Instrumentation Engineer (Licensed),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,2152.0,2152,17-2072 
Insurance Processors,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Not Higher Education,No,No,3321.0,3321,41-3021
Interactive Content Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2513.0,2513,15-1134 
Interactive Media Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,3521.0,3521,27-4099 
Intercultural Program Facilitator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
Interfaith Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 
Interior Architect (Tourism),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
Interior Design Assistant,"Professional, Scientific And Technical Activities",Specialized design activities,Higher Education,Yes,No,3432.0,3432,27-1027
Internal Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,7422.0,7422,49-9052
International Affairs Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,3343.0,3343,43-6011
International Cooperation Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
International Trade Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Wholesale Trade,Higher Education,No,No,3324.0,3324,43-5011 
Inventory Analyst,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,4321.0,4321,43-5111
Inventory Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
Inventory Management Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
Investment Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
Irrigation Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,3142.0,3142,19-4011
IT Business Analyst Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,2511.0,2511,15-1121
IT Support Specialist,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2423.0,2423,21-1012 
IT Support Technician (Air Transport),Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,3155.0,3155,17-3023
IT Technical Support Personnel (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,3512.0,3512,15-1151 
IT Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,3114.0,3114,17-3023
Japan Market Liaison,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,2433.0,2433,41-4011
Japanese Language and Culture Assistant,Education,Other Education,Higher Education,No,Yes,3412.0,3412,21-1093
Java Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,2512.0,2512,15-1133
Jobs Coordinator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4416.0,4416,43-4161 
Judicial Assistant,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,3411.0,3411,33-9031
Junior AI Data Governance Officer,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,2521.0,2521,15-1141
Junior Applications Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133
Junior Architectural Technologist,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
Junior Associate (Consulting),"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,Yes,2421.0,2421,13-1111
Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2634.0,2634,19-3039
Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,2131.0,2131,19-1099
Junior Budget Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No,2413.0,2413,13-2061
Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2413.0,2413,13-2061
Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2642.0,2642,27-3041 
Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No,2511.0,2511,15-1121
Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,2111.0,2111,19-2012
Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No,3312.0,3312,13-2072 
Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2521.0,2521,15-1141
Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2642.0,2642,27-3041 
Junior Financial Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,Yes,No,2413.0,2413,13-2061
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,2413.0,2413,13-2061
Junior Geologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,2114.0,2114,19-2043
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2511.0,2511,15-1121
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,3513.0,3513,15-1152 
Junior Landscape Planner,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2164.0,2164,19-3051
Junior Physics Instructor,Education,Higher education,Higher Education,No,No,3111.0,3111,19-4099
Junior Power Systems Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,2144.0,2144,17-2141 
Junior Prepress Technician,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,7322.0,7322,51-5112
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3412.0,3412,21-1093
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,2631.0,2631,19-3011
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2413.0,2413,13-2061
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2131.0,2131,19-1099
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2522.0,2522,15-1142
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2421.0,2421,13-1111
Kiln Operator,Manufacturing                                                ,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,7521.0,7521,51-9191
Kindergarten Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,2342.0,2342,25-2012
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,5246.0,5246,35-9011 
Knowledge Management Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,2622.0,2622,25-9011
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
Laboratory And Metrology Calibration Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,3119.0,3119,53-6041
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,9333.0,9333,53-7121
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
Landscape Design Assistant (Licensed Architect),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,3112.0,3112,47-4011
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,6118.0,6113,45-2091
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,2351.0,2351,25-9031
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2353.0,2353,25-3099 
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,2353.0,2353,25-3099 
Latex Receiver,Manufacturing                                                ,Manufacture of rubber products,Not Higher Education,No,No,8141.0,8141,51-9197
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,8157.0,8157,51-6011
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,8157.0,8157,51-6011
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2651.0,2651,27-1013
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,3343.0,3343,43-6011
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3411.0,3411,33-9031
Legal Associate,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,Yes,No,3411.0,3411,33-9031
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,2611.0,2611,23-1011
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2310.0,2310,25-1199
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,2423.0,2423,21-1012 
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,3512.0,3512,15-1151 
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4110.0,4110,43-9061 
Librarian,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2622.0,2622,25-9011
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,2622.0,2622,25-9011
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,4411.0,4411,43-4121
Library Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,3433.0,3433,27-1012 
Licensed Aeronautical Engineer,Manufacturing                                                ,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,2144.0,2144,17-2141 
Licensed Agricultural and Biosystems Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2149.0,2149,17-2199
Licensed Agriculturist,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,Yes,No,3142.0,3142,19-4011
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,7422.0,7422,49-9052
Licensed Architect,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
Licensed Chemist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,2143.0,2143,17-2081
Licensed Criminologist,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,2212.0,2212,29-1069
Licensed Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2261.0,2261,29-1029
Licensed Nutritionist and Dietician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031
Licensed Occupational Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2269.0,2269,29-9092 
Licensed Optometrist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2267.0,2267,29-1041
Licensed Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2262.0,2262,29-1051
Licensed Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128
Licensed Psychometrician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2634.0,2634,19-3039
Licensed Respiratory Therapist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,2269.0,2269,29-9092 
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3256.0,3256,31-9092
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5419.0,5419,43-5031
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,3435.0,3435,39-3099 
Line Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,7422.0,7422,49-9052
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5151.0,5151,37-1011 
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2353.0,2353,25-3099 
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2353.0,2353,25-3099 
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2641.0,2641,27-3043
Livelihood Education Teacher,Education,Secondary/high school education,Higher Education,Yes,No,2330.0,2330,25-2031
Livestock Agriculture Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,3144.0,,19-4012
Livestock Health Technician,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,3240.0,3240,31-9096
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6121.0,6121 p,45-2093
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,4213.0,4213,43-3099 
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3252.0,3252,29-2071 
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,5311.0,5311,39-9011
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,4321.0,4321,43-5111
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4323.0,4323,43-5032
Lumber Quality Analyst,Manufacturing                                                ,Sawmilling and planing of wood,Higher Education,No,No,3119.0,3119,53-6041
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 
Machine Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
Machine Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,3511.0,3511,43-9011
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,8189.0,8189,53-7011
