Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Programmable Logic Controller - Programming (Manufacturing),Manufacturing,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,Digital Technology,,,,,,
Programmable Logic Controller Specialist / Technician (Manufacturing),Manufacturing,Manufacture of other electrical equipment,Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,,
Programmer (Manufacturing),Manufacturing,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,Digital Technology,,,,,,
Project Assistant (Cooperatives),Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Project Supervisors,Psychology,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,339.0,468.0,373.0,448.0,72.44,83.26
Project Support Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Project Support Officer (Community),Public Administration and Defense; Compulsory Social Security,Other Executive Offices,Higher Education,No,No,N,N,,,,,,
Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,,
Protocol Officer,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,No,N,N,,,,,,
Public Administration Aide,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,,
Public Attendant / Public Area Cleaner,Administrative and Support Service Activities,Cleaning activities,Not Higher Education,No,No,Y,Financial Services,,,,,,
Public Health Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Public Policy Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,No,N,N,,,,,,
Publishing Coordinator,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N,,,,,,
Purchasing and Supply Logistics Clerks (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,Tourism,Tourism,,,,,,
Purchasing Officer (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,,
PV System Designer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
PV Systems Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Pyrotechnician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,,
QA/QA Test Engineer Associate,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Quality Auditor,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,,
Quality Control Chemist,Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,51.74,54.41
Quality Control Supervisors / Engineers (Construction),Civil Engineering,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Quality Controller,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Higher Education,No,No,N,N,,,,,,
Quality Improvement Analyst,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,,
Quantity Surveyors (Construction),Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
R&D Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,Tourism,Tourism,,,,,,
R&D Food Specialist                         ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,N,453.0,1133.0,510.0,995.0,39.98,51.26
Radiation Therapist,Radiologic Technology,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,385.0,1237.0,2450.0,4257.0,31.12,57.55
Radiation Therapy Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Radio Producer Assistant,Information and Communication,Radio broadcasting,Higher Education,No,Yes,N,N,,,,,,
Radiological Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Real Estate Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,N,,,,,,
Real Estate Salesperson,Real Estate Activities,Real estate activities on a fee or contract basis,Not Higher Education,No,No,N,N,,,,,,
Records Officer (Criminal Justice),Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N,,,,,,
Recreation Worker,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health,,,,,,
Recreational Activities Attendant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,,
Recruitment Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Registered Forester,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,N,1076.0,1947.0,928.0,1574.0,55.26,58.96
Registered Naval Architect,Naval Architecture and Marine Engineering,Building of ships and boats,Higher Education,Yes,No,N,N,28.0,87.0,43.0,94.0,32.18,45.74
Registered Nurse,Nursing,Hospital activities,Higher Education,Yes,No,Y,Health,25761.0,32203.0,29349.0,34534.0,80.0,84.99
Registered Radiologic Technologist,Radiologic Technology,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,385.0,1237.0,2450.0,4257.0,31.12,57.55
Religious Education Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Religious Outreach Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,,
Religious Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,,
Religious Studies Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Research and Development Officer (Agriculture),Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,33.41,56.34
Research Assistant (Physical Sciences),"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Research Associate â€“ Public Affairs,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Research Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Reservations Clerk,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Resort Marketing and Events Officer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Respiratory Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,,
Respite Services Home Care Coordinator,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health,,,,,,
Restaurant Crew,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Rewards Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
RF Systems Engineer,Electronics Engineering,Manufacture of communication equipment,Higher Education,Yes,No,Y,Advanced Manufacturing,842.0,2524.0,999.0,2172.0,33.36,45.99
Rice Farmer,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N,,,,,,
Rice Land Preparation Machinery Operator (Hand Tractor),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Rice Production Assistant,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,,
Ride Operator,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,,
Rigger,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Rigid On-Highway Dump Truck Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Risk Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,,
Risk Management Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services,,,,,,
Road Roller [Compactor] Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Rolling Stock Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Room Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Rough And Finishing Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Rough Mason,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Route Planner,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Rural Development Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,N,,,,,,
Rural Health Field Researcher,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,Health,,,,,,
Safety Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Safety Officer (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Sailing Coach,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Sales Assistant (High School),Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,,
Sales Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,Yes,N,N,,,,,,
Salt Contractor,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,N,,,,,,
Sandblasting Crew,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Sanitary Engineer,Manufacturing,Manufacture of medical and dental instruments and supplies,Higher Education,No,No,N,N,,,,,,
Sanitary Landfill Facility (SLF) Spotter,"Water Supply; Sewerage, Waste Management and Remediation",Waste treatment and disposal,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Sanitation and Disinfection Officer (Healthcare),Medicine,Hospital activities,Higher Education,Yes,No,Y,Health,4083.0,6456.0,3845.0,6600.0,63.24,58.26
Sanitation Inspector,Human Health and Social Work Activities,Human health activities,Higher Education,No,No,Y,Health,,,,,,
SCADA Systems Operator,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Scaffolder,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Science Content Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Science Laboratory Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,,
Science Subject Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Screed Operator (Heavy Equipment),Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Scriptwriter,"Arts, Entertainment and Recreation","Creative, Arts and Entertainment Activities",Higher Education,No,No,N,N,,,,,,
Sculptor Apprentice,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Sea Patrol (Bantay Dagat),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,,
Seafarers,Transportation and Storage,Sea and coastal water transport,Higher Education,No,No,Tourism,Tourism,,,,,,
Seamer Operator,Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Seaweed Nursery Operator,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
Seaweed Processor,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,N,,,,,,
Security Analyst Associate,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Security Guard,Administrative and Support Service Activities,Private security activities,Not Higher Education,No,No,Y,Financial Services,,,,,,
Security Operations Center (SOC) Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,N,N,,,,,,
Security Operations Staff,Administrative and Support Service Activities,Private security activities,Higher Education,No,No,Y,Financial Services,,,,,,
Semiconductor Machine Technician,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Semiconductor Operator ,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Semiconductor Production Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Seminary Support Staff,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,,
Senior Caregiver,Human Health and Social Work Activities,Residential care activities for the elderly and disabled,Not Higher Education,No,No,Y,Health,,,,,,
Service Vehicle Drivers,Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Session Guitarist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Shipper and Receiver,Transportation and Storage,Postal activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Shoe Cutter,Manufacturing,Manufacture of footwear,Not Higher Education,No,No,N,N,,,,,,
Sign Language Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N,,,,,,
Site Accounting Assistant (Construction),Construction,Construction of buildings,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Site Engineering Assistant (Licensed Civil Engineer),Civil Engineering,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,Yes,No,Tourism,Tourism,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Site HR Officers,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Site Monitoring Specialist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,,
Skid Loader Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Slitter,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Social Enterprise Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,Financial Services,,,,,,
Social Listening Research Assistant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,N,N,,,,,,
Social Media Content Creator,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,Y,Digital Technology,,,,,,
Social Media Manager,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,,
Social Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Social Welfare Assistant (Healthcare),Social Work,Social work activities without accommodation for the elderly and disabled,Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,56.75,64.49
Social Work Associate,Social Work,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,56.75,64.49
Software Quality Assurance Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Soil And Nutrient Technologist,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,N,,,,,,
Soil and Plant Lab Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Soil and Plant Scientists,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N,,,,,,
Solar Night Light And Post Lamp Assembler,Manufacturing,Manufacture of electric lighting equipment,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,,
Sonar Fishing Operator,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N,,,,,,
Sonar Technician,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Sound Technician,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,N,,,,,,
Specialized Carpenter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
SPED Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
SPED Teacher (Primary),Professional Teachers,Pre-primary education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
SPED Teacher (Secondary),Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Speech Therapy Aide,Medicine,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,4083.0,6456.0,3845.0,6600.0,63.24,58.26
Speed Limitation Device Installer,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Sports Coach,Professional Teachers,Other education services,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Sports Events Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,,
Sports Program Assistant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,N,,,,,,
Spotters,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Stage Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Stamping Machine Operators,Mechanical Engineering,Construction of buildings,Higher Education,Yes,No,Tourism,Tourism,2133.0,4237.0,1144.0,3485.0,50.34,32.83
Startup Operations Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Startup Program Intern,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services,,,,,,
Statistical Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services,,,,,,
Steelman,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Store Display Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale of cultural and recreation goods in specialized stores,Higher Education,No,Yes,N,N,,,,,,
Store Keeper,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N,,,,,,
Store Supervisor Trainee,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,No,N,N,,,,,,
Storyboard Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N,,,,,,
Strategic Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Strategic Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,,
Structural Design Technician,Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,61.12,62.14
Structural Steel Erector,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Sugarcane Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N,,,,,,
Sugarcane Planter,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Supply Chain Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,,
Supply Chain Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Surf Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,,
Surveillance Officer (CCTV Operation),Administrative and Support Service Activities,Security systems service activities,Higher Education,No,No,Y,Financial Services,,,,,,
Surveying Technician,Civil Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,6180.0,18582.0,6835.0,18436.0,33.26,37.07
Sustainability Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,,
Swine Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
Swine Raiser/Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,,
System Formworks Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Systems Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Tailor,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N,,,,,,
Talent Acquisition and Development Officer (Healthcare),Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,,
Talent Acquisition Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Talent Attraction and Management Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services,,,,,,
Talent Management Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,,
Tappers,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,,
Taro Processor,Manufacturing,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,N,,,,,,
Tax Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,31.37,30.17
Taxi Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Technical Communicator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,,
Technical Project Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Technical Support Specialist,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,,
Technology Operations Assistant,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology,,,,,,
Telecommunications Engineer,Information and Communication,Wired telecommunications activities,Higher Education,No,No,N,N,,,,,,
Telediagnostic Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,,
Telephone And Broadband Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N,,,,,,
Television Producer Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N,,,,,,
Tender Planning & Estimating Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Terminologist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Ticket Issuing / Travel Clerk (Transportation and Storage),Transportation and Storage,"Transport via railways, Transport via buses, Other land transport, Inland water transport",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Ticketing and Reservations Agent,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,No,Tourism,Tourism,,,,,,
TIG Plate Welder (Carbon Steel),Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Tikog Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,,
Tilapia Farm Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N,,,,,,
Tile Setter,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Tinsmith (Automotive Manufacturing),Manufacturing,Manufacture of motor vehicles,Not Higher Education,No,No,N,N,,,,,,
Tinsmith (HVAC/R Worker),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Tinsmiths,Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,,
TLE (Agricultural Track) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
TLE (Industrial Arts) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
TLE (Industrial Technology) Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
Tool Maker,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N,,,,,,
Toolkeepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Tour Operations Staff,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Tourism Information Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,Yes,Tourism,Tourism,,,,,,
Tourist Information Officer (LGU),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N,,,,,,
Tower Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Tower Light Tenders,Construction,Other specialized construction activities,Higher Education,No,No,Tourism,Tourism,,,,,,
Trade & Diplomatic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,,
Traditional Animator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,,
Training Quality Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,,
Transit Mixer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
Translation Associate,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N,,,,,,
Translator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N,,,,,,
Transmission Lineman,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,,
Travel Agency Coordinator,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,Tourism,Tourism,,,,,,
Travel Content Creator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,,
Travel Services Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Not Higher Education,No,No,Tourism,Tourism,,,,,,
Treasury Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,,
Truck Mounted Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,,
TVET Instructor,Professional Teachers,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,53.07,53.03
