Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector
Hospital Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Hospitality Systems and Technology Analyst,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Hotel Cleaners,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Hotel Duty Engineer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,Yes,No,N,N
Hotel Maintenance,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Hotel Receptionist,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,N
Hotel Services Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,N
Household Equipment Technician,Other Service Activities,Repair of personal and household goods,Higher Education,No,Yes,N,N
Housekeeping Attendant,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
HR Assistants / Timekeepers (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
HR Business Partner,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
HR Operations and Technology Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Human Resource Assistant (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Human Resource Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Human Resource Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Humanitarian Affairs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,N
Humanities Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
HVAC Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Higher Education,No,Yes,N,N
Hydraulic Excavator Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
IC Designer,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,No,Y,Advanced Manufacturing
Ice Plant Refrigeration Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N
Import Coordinator,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Import/Export Documentation Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Industrial Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Higher Education,No,Yes,Y,Advanced Manufacturing
Industrial Chemist (Licensed),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,Yes,No,N,N
Industrial Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Industrial Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Industrial Refrigeration Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N
Industrial Scheduler,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Infrastructure Support Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Inland Water Fisheries Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,N,N
Institutional Catering Assistant,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,Yes,N,N
Instrumental Music Teacher,Education,Other education services,Higher Education,Yes,No,N,N
Instrumentation And Automation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing
Instrumentation Engineer (Licensed),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,N,N
Insurance Processors,Financial and Insurance Activities,Activities auxiliary to insurance and pension funding,Not Higher Education,No,No,Y,Financial Services
Interactive Content Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Interactive Media Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Intercultural Program Facilitator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N
Interfaith Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,N
Interior Architect (Tourism),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Interior Design Assistant,"Professional, Scientific And Technical Activities",Specialized design activities,Higher Education,Yes,No,N,N
Internal Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
International Affairs Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
International Cooperation Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
International Trade Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Wholesale Trade,Higher Education,No,No,N,N
Inventory Analyst,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Inventory Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Inventory Management Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Investment Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Irrigation Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N
IT Business Analyst Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
IT Support Specialist,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology
IT Support Technician (Air Transport),Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,Y,Digital Technology
IT Technical Support Personnel (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
IT Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology
Japan Market Liaison,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N
Japanese Language and Culture Assistant,Education,Other Education,Higher Education,No,Yes,N,N
Java Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Jobs Coordinator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Judicial Assistant,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,N
Junior AI Data Governance Officer,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology
Junior Airline Accounting Clerk ,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,Yes,No,N,N
Junior Applications Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology
Junior Architectural Technologist,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Junior Associate (Consulting),"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,Yes,N,N
Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N
Junior Budget Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No,Y,Financial Services
Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services
Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N
Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No,N,N
Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,N
Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No,Y,Financial Services
Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,N
Junior Financial Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,Yes,No,Y,Financial Services
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services
Junior Geologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology
Junior Landscape Planner,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Junior Physics Instructor,Education,Higher education,Higher Education,No,No,N,N
Junior Power Systems Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,N,N
Junior Prepress Technician,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,N,N
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N
Kiln Operator,Manufacturing                                                ,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,N,N
Kindergarten Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,N,N
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,N,N
Knowledge Management Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,N,N
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Laboratory And Metrology Calibration Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,N,N
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N
Landscape Design Assistant (Licensed Architect),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,N,N
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,N,N
Latex Receiver,Manufacturing                                                ,Manufacture of rubber products,Not Higher Education,No,No,N,N
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,N,N
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,N
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Legal Associate,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,Yes,No,N,N
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,N,N
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Librarian,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Library Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N
Licensed Aeronautical Engineer,Manufacturing                                                ,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,N,N
Licensed Agricultural and Biosystems Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N
Licensed Agriculturist,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,Yes,No,N,N
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,N,N
Licensed Architect,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Licensed Chemist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,N,N
Licensed Criminologist,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N
Licensed Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Licensed Nutritionist and Dietician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Licensed Occupational Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Licensed Optometrist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Licensed Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Licensed Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Licensed Psychometrician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health
Licensed Respiratory Therapist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,N,N
Line Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N
Livelihood Education Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
Livestock Agriculture Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,N,N
Livestock Health Technician,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,N
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,Financial Services
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Lumber Quality Analyst,Manufacturing                                                ,Sawmilling and planing of wood,Higher Education,No,No,N,N
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Machine Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Machine Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N
Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N
Magician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N
Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes,N,N
Maintenance Fitter,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Maintenance Laborer ,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Maintenance Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N
Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No,N,N
Management Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N
Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N
Manufacturing Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Manufacturing Equipment Technician,Manufacturing                                                ,Installation of industrial machinery and equipment,Higher Education,No,Yes,N,N
Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,Y,Digital Technology
Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No,N,N
Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,N
Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,N,N
Marketing Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N
Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,Digital Technology
Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N
Mat Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N
Material Handlers,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,N,N
Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Materials Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes,N,N
Mathematics Instructor,Education,Higher education,Higher Education,No,No,N,N
Mathematics Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N
Meat Processor,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,N,N
Mechanical Designer,Manufacturing                                                ,Manufacture of special purpose machinery,Higher Education,No,No,N,N
Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N
Mechatronics and Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology
Mechatronics Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,Y,Digital Technology
Media Arts Teaching Assistant,Education,Other education services,Higher Education,Yes,No,Y,Digital Technology
Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology
Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology
Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology
Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health
Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health
Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health
Medical Laboratory Technologist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health
Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,Health
Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No,Y,Digital Technology
Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N
Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No,Y,Financial Services
Milk Processing Technician                  ,Manufacturing                                                ,Manufacture of dairy products,Higher Education,No,No,N,N
Millwright,Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Mine Safety Engineer,Mining and Quarrying,Mining of Metal Ores,Higher Education,Yes,No,N,N
Ministry Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health
MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N
Mobile Phones And Handheld Gadgets Technician,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No,Y,Advanced Manufacturing
Mobile Robotics System Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Advanced Manufacturing
Mold Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N
Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Motorcycle/Small Engine Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No,N,N
Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,Y,Digital Technology
Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,Y,Digital Technology
Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,N
Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N
Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N
Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N
Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N
Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
