Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI
Judicial Assistant,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes
Junior AI Data Governance Officer,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No
Junior Airline Accounting Clerk ,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,Yes,No
Junior Applications Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No
Junior Architectural Technologist,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Junior Associate (Consulting),"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,Yes
Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No
Junior Budget Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No
Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No
Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No
Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No
Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No
Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No
Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No
Junior Financial Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,Yes,No
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No
Junior Geologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No
Junior Landscape Planner,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Junior Physics Instructor,Education,Higher education,Higher Education,No,No
Junior Power Systems Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No
Junior Prepress Technician,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No
Kiln Operator,Manufacturing                                                ,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes
Kindergarten Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No
Knowledge Management Officer,Information and Communication,Other information service activities,Higher Education,Yes,No
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Laboratory And Metrology Calibration Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No
Landscape Design Assistant (Licensed Architect),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes
Latex Receiver,Manufacturing                                                ,Manufacture of rubber products,Not Higher Education,No,No
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Legal Associate,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,Yes,No
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No
Librarian,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Library Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No
Licensed Aeronautical Engineer,Manufacturing                                                ,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No
Licensed Agricultural and Biosystems Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No
Licensed Agriculturist,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,Yes,No
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No
Licensed Architect,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Licensed Chemist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No
Licensed Criminologist,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No
Licensed Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Licensed Nutritionist and Dietician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Licensed Occupational Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Licensed Optometrist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Licensed Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Licensed Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Licensed Psychometrician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Licensed Respiratory Therapist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes
Line Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No
Livelihood Education Teacher,Education,Secondary/high school education,Higher Education,Yes,No
Livestock Agriculture Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No
Livestock Health Technician,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Lumber Quality Analyst,Manufacturing                                                ,Sawmilling and planing of wood,Higher Education,No,No
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Machine Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No
Machine Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes
Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Magician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No
Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes
Maintenance Fitter,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Maintenance Laborer ,Construction,Construction of buildings,Not Higher Education,No,No
Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No
Maintenance Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes
Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No
Management Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No
Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No
Manufacturing Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Manufacturing Equipment Technician,Manufacturing                                                ,Installation of industrial machinery and equipment,Higher Education,No,Yes
Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No
Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No
Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No
Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No
Marketing Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No
Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes
Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No
Mat Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No
Material Handlers,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No
Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No
Materials Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes
Mathematics Instructor,Education,Higher education,Higher Education,No,No
Mathematics Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No
Meat Processor,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No
Mechanical Designer,Manufacturing                                                ,Manufacture of special purpose machinery,Higher Education,No,No
Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes
Mechatronics and Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Mechatronics Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No
Media Arts Teaching Assistant,Education,Other education services,Higher Education,Yes,No
Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes
Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes
Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No
Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes
Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes
Medical Laboratory Technologist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No
Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No
Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No
Milk Processing Technician                  ,Manufacturing                                                ,Manufacture of dairy products,Higher Education,No,No
Millwright,Construction,Construction of buildings,Higher Education,No,No
Mine Safety Engineer,Mining and Quarrying,Mining of Metal Ores,Higher Education,Yes,No
Ministry Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes
MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No
Mobile Phones And Handheld Gadgets Technician,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No
Mobile Robotics System Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No
Mold Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No
Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No
Motorcycle/Small Engine Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No
Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No
Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No
Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes
Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No
Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes
Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No
Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes
Music Teacher (Choral Director),Education,Other education services,Higher Education,Yes,No
Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No
Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes
Network Cabling Technician,Manufacturing                                                ,Manufacture of communication equipment,Not Higher Education,No,Yes
Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes
News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes
News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No
Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes
Nurse Anaesthetist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Nursery Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No
Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No
Nutrition Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Nutritional Product Developer,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No
Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No
Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes
Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes
Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No
Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes
Operating Theatre Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes
Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No
Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Orchestra Violinist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Organic Vegetable Farmer,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No
Organizational Development Specialist (OD),Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Orthopaedic Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No
Orthotic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No
Orthotic/Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Packagers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities or packaging food products,Not Higher Education,No,No
Painter,Construction,Building completion and finishing,Not Higher Education,No,No
Painting Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No
Pantry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Paper Mache Maker,Manufacturing                                                ,Manufacture of paper and paper products,Not Higher Education,No,No
Park and Garden Rangers,Administrative and Support Service Activities,Landscape care and maintenance service activities,Not Higher Education,No,No
Park Sweeper,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No
Parking Valet,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Passenger Bus Driver,Transportation and Storage,Transport via buses,Not Higher Education,No,No
Passenger Services Agent,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No
Pastoral Support Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No
Pastry Baker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No
Pathology Lab Assistant,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No
Patient Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Patient Service Associate,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes
Paver Operator,Construction,Construction of roads and railways,Not Higher Education,No,No
Payroll Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No
Payroll Clerk,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Performance and Rewards Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes
Performance Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes
Performance Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No
Personal Care Aide,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No
Pest Management Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes
Pest-Control Technician,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No
Pharmaceutical Laboratory Analyst,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No
Pharmaceutical Machine Operator,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No
Pharmacy Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No
Philosophy Academic Content Writer,Education,Other Education,Higher Education,No,No
Philosophy and Ethics Instructor,Education,Higher education,Higher Education,No,No
Photo Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes
Photographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No
Physics Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes
Piano Accompanist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No
Picture Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No
Pili Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No
Pipe Welder (SAW),Construction,Other specialized construction activities,Not Higher Education,No,No
Pipefitter,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Planetarium Assistant,Education,Educational support services,Higher Education,No,Yes
Plant Maintenance Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution, Manufacture of gas; distribution of gaseous fuels through mains",Not Higher Education,No,No
Plant Process Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes
Plant Propagator,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No
Plant Tissue Culture Laboratory Technician,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No
Plate Welder (FCAW),Construction,Other specialized construction activities,Not Higher Education,No,No
Plate Welder (GMAW),Construction,Other specialized construction activities,Not Higher Education,No,No
Plumber,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No
Police Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No
Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
Policy Support Officer – Islamic Affairs,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No
Political Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes
Political Risk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Pollution Control Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No
Pollution Control Officer (Manufacturing),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,No,No
Pollution Control Technician,"Water Supply; Sewerage, Waste Management and Remediation     ",Sewerage                                                                    ,Higher Education,No,Yes
Pool Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No
Population Data Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No
Port Operations Assistant,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,Yes
Post-Harvest Workers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No
Postproduction Assistant,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No
Poultry Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No
Poultry Processing Specialist,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No
Preschool Teacher,Education,Pre-primary education,Higher Education,Yes,No
