,Job Title,Educational Qualification,Job Sector,Educational Pathway,HEI with PRC Exam,Some HEI,Job Subsector,PSOC Code,ISCO Code,SOC Code,SOC Title,SOC Codes,SOC Titles,AIOE,Complementarity,AI Risk Classification
659,Museum Researcher,,"Arts, Entertainment and Recreation",Higher Education,No,No,"Libraries, archives, museums and other cultural activities",2621,2621,25-4012.00,Curators,"['25-4011.00', '25-4012.00']","['Archivists', 'Curators']",0.607945271391798,0.5930555555555556,Automated
660,Museum Technician,,"Arts, Entertainment and Recreation",Higher Education,No,Yes,"Libraries, archives, museums and other cultural activities",3433,3433,25-4013.00,Museum Technicians and Conservators,"['25-4013.00', '25-4031.00', '27-1012.00']","['Museum Technicians and Conservators', 'Library Technicians', 'Craft Artists']",-0.1924550798877063,0.6366666666666667,Not Affected
661,Nurse Anaesthetist,,Human Health and Social Work Activities,Higher Education,Yes,No,Medical and dental practice activities,2221,2221,29-1151.00,Nurse Anesthetists,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '29-1141.04', '29-1151.00', '29-1171.00']","['Registered Nurses', 'Acute Care Nurses', 'Advanced Practice Psychiatric Nurses', 'Critical Care Nurses', 'Clinical Nurse Specialists', 'Nurse Anesthetists', 'Nurse Practitioners']",-0.2961187262216176,0.6813888888888888,Not Affected
662,Occupational Therapy Assistant,,Human Health and Social Work Activities,Higher Education,No,Yes,Medical and dental practice activities,3259,3259,31-2011.00,Occupational Therapy Assistants,"['29-1126.00', '29-2031.00', '29-2051.00', '29-2053.00', '29-2099.00', '29-2099.01', '29-2099.05', '29-2099.08', '29-2055.00', '29-2099.00', '29-2099.01', '29-2099.05', '29-2099.08', '29-9099.00', '29-9099.01', '31-2011.00', '31-9099.00', '31-9099.01', '31-9099.02']","['Respiratory Therapists', 'Cardiovascular Technologists and Technicians', 'Dietetic Technicians', 'Psychiatric Technicians', 'Health Technologists and Technicians, All Other', 'Neurodiagnostic Technologists', 'Ophthalmic Medical Technologists', 'Patient Representatives', 'Surgical Technologists', 'Health Technologists and Technicians, All Other', 'Neurodiagnostic Technologists', 'Ophthalmic Medical Technologists', 'Patient Representatives', 'Healthcare Practitioners and Technical Workers, All Other', 'Midwives', 'Occupational Therapy Assistants', 'Healthcare Support Workers, All Other', 'Speech-Language Pathology Assistants', 'Endoscopy Technicians']",-0.2900359460934343,0.6366666666666666,Not Affected
663,Office Receptionist,,Administrative and Support Service Activities,Higher Education,No,Yes,Office administrative and support activities,4226,4226,43-4171.00,Receptionists and Information Clerks,['43-4171.00'],['Receptionists and Information Clerks'],0.9380611170416764,0.4713888888888888,Automated
664,Online Store Executive Assistant,,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Higher Education,No,Yes,Retail Sale via Mail Order Houses or via Internet,5222,5222,41-1011.00,First-Line Supervisors of Retail Sales Workers,['41-1011.00'],['First-Line Supervisors of Retail Sales Workers'],-0.0812984996960059,0.5905555555555555,Not Affected
665,Operating Theatre Nurse,,Human Health and Social Work Activities,Higher Education,Yes,No,Medical and dental practice activities,2221,2221,29-1151.00,Nurse Anesthetists,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '29-1141.04', '29-1151.00', '29-1171.00']","['Registered Nurses', 'Acute Care Nurses', 'Advanced Practice Psychiatric Nurses', 'Critical Care Nurses', 'Clinical Nurse Specialists', 'Nurse Anesthetists', 'Nurse Practitioners']",-0.2961187262216176,0.6813888888888888,Not Affected
666,Organizational Development Specialist (OD),,Administrative and Support Service Activities,Higher Education,No,No,Other human resources provision,2423,2423,13-1071.00,Human Resources Specialists,"['13-1071.00', '13-1075.00', '13-1141.00', '21-1012.00']","['Human Resources Specialists', 'Labor Relations Specialists', 'Compensation, Benefits, and Job Analysis Specialists', 'Educational, Guidance, and Career Counselors and Advisors']",1.2693805338487802,0.645,Augmented
667,Orthopaedic Physical Therapist,,Human Health and Social Work Activities,Higher Education,Yes,No,Medical and dental practice activities,2264,2264,29-1123.00,Physical Therapists,"['29-1123.00', '29-1128.00']","['Physical Therapists', 'Exercise Physiologists']",-0.4825330700349509,0.7772222222222221,Not Affected
668,Patient Service Associate,,Human Health and Social Work Activities,Higher Education,No,Yes,Medical and dental practice activities,4226,4226,43-4171.00,Receptionists and Information Clerks,['43-4171.00'],['Receptionists and Information Clerks'],0.9380611170416764,0.4713888888888888,Automated
669,Payroll Clerk,,Administrative and Support Service Activities,Higher Education,No,Yes,Other human resources provision,4312,4312,43-3099.00,"Financial Clerks, All Other","['43-3099.00', '43-4011.00', '43-4041.00', '43-4131.00', '43-4141.00', '43-9041.00']","['Financial Clerks, All Other', 'Brokerage Clerks', 'Credit Authorizers, Checkers, and Clerks', 'Loan Interviewers and Clerks', 'New Accounts Clerks', 'Insurance Claims and Policy Processing Clerks']",1.052744951975515,0.4941666666666667,Automated
670,Performance and Rewards Associate,,Administrative and Support Service Activities,Higher Education,No,Yes,Other human resources provision,4416,4416,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",['43-4161.00'],"['Human Resources Assistants, Except Payroll and Timekeeping']",1.2623911599504438,0.5302777777777777,Automated
671,Performance Specialist,,Administrative and Support Service Activities,Higher Education,No,No,Other human resources provision,4416,4416,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",['43-4161.00'],"['Human Resources Assistants, Except Payroll and Timekeeping']",1.2623911599504438,0.5302777777777777,Automated
672,Philosophy Academic Content Writer,,Education,Higher Education,No,No,Other Education,2641,2641,27-3042.00,Technical Writers,"['27-3041.00', '27-3042.00', '27-3043.00', '27-3043.05']","['Editors', 'Technical Writers', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.0358423916827189,0.6130555555555556,Automated
673,Philosophy and Ethics Instructor,,Education,Higher Education,No,No,Higher education,2310,2310,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","['25-1011.00', '25-1021.00', '25-1022.00', '25-1031.00', '25-1032.00', '25-1041.00', '25-1042.00', '25-1043.00', '25-1051.00', '25-1052.00', '25-1053.00', '25-1054.00', '25-1061.00', '25-1062.00', '25-1063.00', '25-1064.00', '25-1065.00', '25-1066.00', '25-1067.00', '25-1069.00', '25-1071.00', '25-1072.00', '25-1081.00', '25-1082.00', '25-1111.00', '25-1112.00', '25-1113.00', '25-1121.00', '25-1122.00', '25-1123.00', '25-1124.00', '25-1125.00', '25-1126.00', '25-9044.00', '25-1192.00', '25-1193.00', '25-1199.00']","['Business Teachers, Postsecondary', 'Computer Science Teachers, Postsecondary', 'Mathematical Science Teachers, Postsecondary', 'Architecture Teachers, Postsecondary', 'Engineering Teachers, Postsecondary', 'Agricultural Sciences Teachers, Postsecondary', 'Biological Science Teachers, Postsecondary', 'Forestry and Conservation Science Teachers, Postsecondary', 'Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary', 'Chemistry Teachers, Postsecondary', 'Environmental Science Teachers, Postsecondary', 'Physics Teachers, Postsecondary', 'Anthropology and Archeology Teachers, Postsecondary', 'Area, Ethnic, and Cultural Studies Teachers, Postsecondary', 'Economics Teachers, Postsecondary', 'Geography Teachers, Postsecondary', 'Political Science Teachers, Postsecondary', 'Psychology Teachers, Postsecondary', 'Sociology Teachers, Postsecondary', 'Social Sciences Teachers, Postsecondary, All Other', 'Health Specialties Teachers, Postsecondary', 'Nursing Instructors and Teachers, Postsecondary', 'Education Teachers, Postsecondary', 'Library Science Teachers, Postsecondary', 'Criminal Justice and Law Enforcement Teachers, Postsecondary', 'Law Teachers, Postsecondary', 'Social Work Teachers, Postsecondary', 'Art, Drama, and Music Teachers, Postsecondary', 'Communications Teachers, Postsecondary', 'English Language and Literature Teachers, Postsecondary', 'Foreign Language and Literature Teachers, Postsecondary', 'History Teachers, Postsecondary', 'Philosophy and Religion Teachers, Postsecondary', 'Teaching Assistants, Postsecondary', 'Family and Consumer Sciences Teachers, Postsecondary', 'Recreation and Fitness Studies Teachers, Postsecondary', 'Postsecondary Teachers, All Other']",1.2586184860736835,0.6422222222222221,Augmented
674,Pollution Control Officer (Healthcare),,Human Health and Social Work Activities,Higher Education,No,No,Hospital activities,2133,2133,19-2041.00,"Environmental Scientists and Specialists, Including Health","['19-1031.00', '19-1031.02', '19-1031.03', '19-2041.00', '19-2041.01', '19-2041.02', '19-2041.03']","['Conservation Scientists', 'Range Managers', 'Park Naturalists', 'Environmental Scientists and Specialists, Including Health', 'Climate Change Policy Analysts', 'Environmental Restoration Planners', 'Industrial Ecologists']",-0.0721219746518049,0.6377777777777779,Not Affected
675,Pollution Control Officer (Manufacturing),,Manufacturing,Higher Education,No,No,Manufacture of basic chemicals,2263,2263,19-5011.00,Occupational Health and Safety Specialists,"['21-1091.00', '19-5011.00']","['Health Education Specialists', 'Occupational Health and Safety Specialists']",0.5960777927068114,0.6819444444444445,Augmented
676,Procurement Staff (Construction),,Construction,Higher Education,Yes,No,Construction of buildings,3323,3323,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","['13-1021.00', '13-1022.00', '13-1023.00']","['Buyers and Purchasing Agents, Farm Products', 'Wholesale and Retail Buyers, Except Farm Products', 'Purchasing Agents, Except Wholesale, Retail, and Farm Products']",0.6737696965684681,0.6494444444444444,Augmented
677,Programmable Logic Controller - Electrical (Manufacturing),,Manufacturing,Higher Education,No,No,Manufacture of other electrical equipment,3113,3113,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,"['17-3023.00', '17-3024.00', '17-3024.01']","['Electrical and Electronic Engineering Technologists and Technicians', 'Electro-Mechanical and Mechatronics Technologists and Technicians', 'Robotics Technicians']",0.1471846227656904,0.6161111111111112,Not Affected
678,Programmable Logic Controller - Programming (Manufacturing),,Manufacturing,Higher Education,No,No,Manufacture of computers and peripheral equipment and accessories,3512,3512,15-1232.00,Computer User Support Specialists,['15-1232.00'],['Computer User Support Specialists'],0.4154865910960427,0.6263888888888889,Augmented
679,Programmable Logic Controller Specialist / Technician (Manufacturing),,Manufacturing,Higher Education,No,Yes,Manufacture of other electrical equipment,3114,3114,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,['17-3023.00'],['Electrical and Electronic Engineering Technologists and Technicians'],0.1471846227656904,0.6161111111111112,Not Affected
680,Programmer (Manufacturing),,Manufacturing,Higher Education,No,No,Manufacture of computers and peripheral equipment and accessories,2512,2512,15-1253.00,Software Quality Assurance Analysts and Testers,"['15-1253.00', '15-1253.00']","['Software Quality Assurance Analysts and Testers', 'Software Quality Assurance Analysts and Testers']",1.1287370009418167,0.5502777777777778,Automated
681,Project Assistant (Cooperatives),,Administrative and Support Service Activities,Higher Education,No,Yes,"Business support service activities, n.e.c.",3343,3343,43-6011.00,Executive Secretaries and Executive Administrative Assistants,"['27-3092.00', '43-6011.00']","['Court Reporters and Simultaneous Captioners', 'Executive Secretaries and Executive Administrative Assistants']",0.567630060812383,0.5261111111111111,Automated
682,Project Supervisors,,Construction,Higher Education,Yes,No,Construction of buildings,3123,3123,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,"['47-1011.00', '47-1011.03']","['First-Line Supervisors of Construction Trades and Extraction Workers', 'Solar Energy Installation Managers']",-0.4287011706767064,0.7841666666666667,Not Affected
683,Purchasing and Supply Logistics Clerks (Transportation and Storage),,Transportation and Storage,Higher Education,No,No,Support activities for transportation,4322,4322,43-5061.00,"Production, Planning, and Expediting Clerks",['43-5061.00'],"['Production, Planning, and Expediting Clerks']",0.754947524675795,0.5822222222222222,Automated
684,Purchasing Officer (Tourism),,Accommodation and Food Service Activities,Higher Education,No,No,Short term accommodation activities,3323,3323,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","['13-1021.00', '13-1022.00', '13-1023.00']","['Buyers and Purchasing Agents, Farm Products', 'Wholesale and Retail Buyers, Except Farm Products', 'Purchasing Agents, Except Wholesale, Retail, and Farm Products']",0.6737696965684681,0.6494444444444444,Augmented
685,QA/QA Test Engineer Associate,,Information and Communication,Higher Education,No,No,"Computer programming, consultancy and related activities",2512,2512,15-1253.00,Software Quality Assurance Analysts and Testers,"['15-1253.00', '15-1253.00']","['Software Quality Assurance Analysts and Testers', 'Software Quality Assurance Analysts and Testers']",1.1287370009418167,0.5502777777777778,Automated
686,Quality Auditor,,Administrative and Support Service Activities,Higher Education,No,No,"Business support service activities, n.e.c.",3119,3119,19-4099.01,Quality Control Analysts,"['17-3025.00', '17-3026.00', '17-3026.01', '17-3029.00', '17-3029.01', '17-3029.08', '19-4051.00', '19-4051.02', '19-4092.00', '19-4099.00', '19-4099.01', '19-4099.03', '33-1021.00', '33-2021.00', '33-2022.00', '53-6041.00']","['Environmental Engineering Technologists and Technicians', 'Industrial Engineering Technologists and Technicians', 'Nanotechnology Engineering Technologists and Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians', 'Nuclear Technicians', 'Nuclear Monitoring Technicians', 'Forensic Science Technicians', 'Life, Physical, and Social Science Technicians, All Other', 'Quality Control Analysts', 'Remote Sensing Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Forest Fire Inspectors and Prevention Specialists', 'Traffic Technicians']",-0.0564920970490134,0.6525,Not Affected
687,Quality Control Supervisors / Engineers (Construction),,Construction,Higher Education,Yes,No,Construction of buildings,3119,3119,19-4099.01,Quality Control Analysts,"['17-3025.00', '17-3026.00', '17-3026.01', '17-3029.00', '17-3029.01', '17-3029.08', '19-4051.00', '19-4051.02', '19-4092.00', '19-4099.00', '19-4099.01', '19-4099.03', '33-1021.00', '33-2021.00', '33-2022.00', '53-6041.00']","['Environmental Engineering Technologists and Technicians', 'Industrial Engineering Technologists and Technicians', 'Nanotechnology Engineering Technologists and Technicians', 'Engineering Technologists and Technicians, Except Drafters, All Other', 'Non-Destructive Testing Specialists', 'Photonics Technicians', 'Nuclear Technicians', 'Nuclear Monitoring Technicians', 'Forensic Science Technicians', 'Life, Physical, and Social Science Technicians, All Other', 'Quality Control Analysts', 'Remote Sensing Technicians', 'First-Line Supervisors of Firefighting and Prevention Workers', 'Fire Inspectors and Investigators', 'Forest Fire Inspectors and Prevention Specialists', 'Traffic Technicians']",-0.0564920970490134,0.6525,Not Affected
688,R&D Chef,,Accommodation and Food Service Activities,Higher Education,No,No,Restaurants and mobile food service activities,4416,4416,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",['43-4161.00'],"['Human Resources Assistants, Except Payroll and Timekeeping']",1.2623911599504438,0.5302777777777777,Automated
689,Radiation Therapist,,Human Health and Social Work Activities,Higher Education,Yes,No,Medical and dental practice activities,3211,3211,29-1124.00,Radiation Therapists,"['29-1124.00', '29-2032.00', '29-2033.00', '29-2034.00', '29-2035.00']","['Radiation Therapists', 'Diagnostic Medical Sonographers', 'Nuclear Medicine Technologists', 'Radiologic Technologists and Technicians', 'Magnetic Resonance Imaging Technologists']",-0.3211544873092259,0.6308333333333332,Not Affected
690,Radiation Therapy Assistant,,Human Health and Social Work Activities,Higher Education,No,Yes,Other human health activities,3211,3211,29-1124.00,Radiation Therapists,"['29-1124.00', '29-2032.00', '29-2033.00', '29-2034.00', '29-2035.00']","['Radiation Therapists', 'Diagnostic Medical Sonographers', 'Nuclear Medicine Technologists', 'Radiologic Technologists and Technicians', 'Magnetic Resonance Imaging Technologists']",-0.3211544873092259,0.6308333333333332,Not Affected
691,Radio Producer Assistant,,Information and Communication,Higher Education,No,Yes,Radio broadcasting,2642,2642,27-3023.00,"News Analysts, Reporters, and Journalists","['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
692,Recreation Worker,,Human Health and Social Work Activities,Higher Education,No,No,Other human health activities,3253,3253,21-1094.00,Community Health Workers,['21-1094.00'],['Community Health Workers'],-0.0632242294411926,0.6677777777777778,Not Affected
693,Registered Forester,,"Agriculture, Forestry, and Fishing",Higher Education,Yes,No,Silviculture and other forestry activities,3143,3143,19-4071.00,Forest and Conservation Technicians,['19-4071.00'],['Forest and Conservation Technicians'],-0.7727476275783224,0.7088888888888888,Not Affected
694,Registered Naval Architect,,Manufacturing,Higher Education,Yes,No,Building of ships and boats,2149,2149,17-2161.00,Nuclear Engineers,"['17-2031.00', '17-2111.00', '17-2111.02', '17-2131.00', '17-2161.00', '17-2199.00', '17-2199.03', '17-2199.05', '17-2199.06', '17-2199.07', '17-2199.08', '17-2199.09', '17-2199.10', '17-2199.11']","['Bioengineers and Biomedical Engineers', 'Health and Safety Engineers, Except Mining Safety Engineers and Inspectors', 'Fire-Prevention and Protection Engineers', 'Materials Engineers', 'Nuclear Engineers', 'Engineers, All Other', 'Energy Engineers, Except Wind and Solar', 'Mechatronics Engineers', 'Microsystems Engineers', 'Photonics Engineers', 'Robotics Engineers', 'Nanosystems Engineers', 'Wind Energy Engineers', 'Solar Energy Systems Engineers']",0.966410139209174,0.5813888888888888,Automated
695,Registered Radiologic Technologist,,Human Health and Social Work Activities,Higher Education,Yes,No,Medical and dental practice activities,3211,3211,29-2034.00,Radiologic Technologists and Technicians,"['29-1124.00', '29-2032.00', '29-2033.00', '29-2034.00', '29-2035.00']","['Radiation Therapists', 'Diagnostic Medical Sonographers', 'Nuclear Medicine Technologists', 'Radiologic Technologists and Technicians', 'Magnetic Resonance Imaging Technologists']",-0.3211544873092259,0.6308333333333332,Not Affected
696,Research and Development Officer (Agriculture),,"Agriculture, Forestry, and Fishing",Higher Education,Yes,No,Support activities to agriculture and post-harvest crop activities,2132,2132,25-9021.00,Farm and Home Management Educators,"['19-1013.00', '19-1032.00', '25-9021.00']","['Soil and Plant Scientists', 'Foresters', 'Farm and Home Management Educators']",0.4926832402408863,0.7025,Augmented
697,Research Clerk (Transportation and Storage),,Transportation and Storage,Higher Education,No,Yes,Support activities for transportation,4227,4227,43-4111.00,"Interviewers, Except Eligibility and Loan",['43-4111.00'],"['Interviewers, Except Eligibility and Loan']",1.1873154955236864,0.5880555555555556,Automated
698,Respiratory Therapy Assistant,,Human Health and Social Work Activities,Higher Education,No,Yes,Medical and dental practice activities,3256,3256,31-9092.00,Medical Assistants,"['29-2057.00', '31-9092.00']","['Ophthalmic Medical Technicians', 'Medical Assistants']",-0.013880118804895,0.5833333333333334,Not Affected
699,Respite Services Home Care Coordinator,,Human Health and Social Work Activities,Higher Education,No,Yes,Other human health activities,2269,2269,29-1122.00,Occupational Therapists,"['29-1011.00', '29-1081.00', '29-1122.00', '29-1122.01', '29-1125.00', '29-1129.00', '29-1129.01', '29-1129.02', '29-1299.00', '29-1299.01', '29-1299.02', '29-9092.00']","['Chiropractors', 'Podiatrists', 'Occupational Therapists', 'Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists', 'Recreational Therapists', 'Therapists, All Other', 'Art Therapists', 'Music Therapists', 'Healthcare Diagnosing or Treating Practitioners, All Other', 'Naturopathic Physicians', 'Orthoptists', 'Genetic Counselors']",-0.293207848560766,0.75,Not Affected
700,Rewards Specialist,,Administrative and Support Service Activities,Higher Education,No,No,Other human resources provision,2351,2351,25-9031.00,Instructional Coordinators,['25-9031.00'],['Instructional Coordinators'],1.2641879840632628,0.6875,Augmented
701,Risk Analyst,,Administrative and Support Service Activities,Higher Education,No,No,"Business support service activities, n.e.c.",2413,2413,13-2054.00,Financial Risk Specialists,"['13-2041.00', '13-2054.00', '13-2061.00']","['Credit Analysts', 'Financial Risk Specialists', 'Financial Examiners']",1.3619706994524077,0.5283333333333333,Automated
702,Route Planner,,Transportation and Storage,Higher Education,No,Yes,Support activities for transportation,4323,4323,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",['43-5032.00'],"['Dispatchers, Except Police, Fire, and Ambulance']",1.096197891448219,0.6255555555555555,Augmented
703,Safety Officer (Healthcare),,Human Health and Social Work Activities,Higher Education,No,No,Hospital activities,3257,3257,19-5012.00,Occupational Health and Safety Technicians,"['19-5012.00', '45-2011.00', '53-1049.00', '53-6051.00', '53-6051.01', '53-6051.07']","['Occupational Health and Safety Technicians', 'Agricultural Inspectors', 'First-Line Supervisors of Transportation Workers, All Other', 'Transportation Inspectors', 'Aviation Inspectors', 'Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation']",0.2619022567584564,0.686111111111111,Not Affected
704,Safety Officer (Hotel),,Accommodation and Food Service Activities,Higher Education,No,No,Short term accommodation activities,3257,3257,19-5012.00,Occupational Health and Safety Technicians,"['19-5012.00', '45-2011.00', '53-1049.00', '53-6051.00', '53-6051.01', '53-6051.07']","['Occupational Health and Safety Technicians', 'Agricultural Inspectors', 'First-Line Supervisors of Transportation Workers, All Other', 'Transportation Inspectors', 'Aviation Inspectors', 'Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation']",0.2619022567584564,0.686111111111111,Not Affected
705,Sanitary Engineer,,Manufacturing,Higher Education,No,No,Manufacture of medical and dental instruments and supplies,2143,2143,17-2081.00,Environmental Engineers,['17-2081.00'],['Environmental Engineers'],1.3254379616673335,0.6652777777777777,Augmented
706,Sanitation and Disinfection Officer (Healthcare),,Human Health and Social Work Activities,Higher Education,Yes,No,Hospital activities,3257,3257,19-5012.00,Occupational Health and Safety Technicians,"['19-5012.00', '45-2011.00', '53-1049.00', '53-6051.00', '53-6051.01', '53-6051.07']","['Occupational Health and Safety Technicians', 'Agricultural Inspectors', 'First-Line Supervisors of Transportation Workers, All Other', 'Transportation Inspectors', 'Aviation Inspectors', 'Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation']",0.2619022567584564,0.686111111111111,Not Affected
707,Scriptwriter,,"Arts, Entertainment and Recreation",Higher Education,No,No,"Creative, Arts and Entertainment Activities",2641,2641,27-3042.00,Technical Writers,"['27-3041.00', '27-3042.00', '27-3043.00', '27-3043.05']","['Editors', 'Technical Writers', 'Writers and Authors', 'Poets, Lyricists and Creative Writers']",1.0358423916827189,0.6130555555555556,Automated
708,Seafarers,,Transportation and Storage,Higher Education,No,No,Sea and coastal water transport,3152,3152,53-5021.00,"Captains, Mates, and Pilots of Water Vessels","['53-1049.00', '53-5021.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Captains, Mates, and Pilots of Water Vessels']",-0.8093223179968441,0.7611111111111111,Not Affected
709,Security Analyst Associate,,Administrative and Support Service Activities,Higher Education,No,Yes,"Business support service activities, n.e.c.",2529,2529,15-1212.00,Information Security Analysts,"['15-1212.00', '15-1299.00', '15-1299.01', '15-1299.02', '15-1299.03', '15-1299.04', '15-1299.05', '15-1299.06', '15-1299.07', '15-1299.08', '15-1299.09']","['Information Security Analysts', 'Computer Occupations, All Other', 'Web Administrators', 'Geographic Information Systems Technologists and Technicians', 'Document Management Specialists', 'Penetration Testers', 'Information Security Engineers', 'Digital Forensics Analysts', 'Blockchain Engineers', 'Computer Systems Engineers/Architects', 'Information Technology Project Managers']",1.158693016654159,0.581111111111111,Automated
710,Service Vehicle Drivers,,Construction,Higher Education,No,No,Construction of buildings,8322,8322,53-3033.00,Light Truck Drivers,"['53-1049.00', '53-3011.00', '53-3031.00', '53-3033.00', '53-3054.00']","['First-Line Supervisors of Transportation Workers, All Other', 'Ambulance Drivers and Attendants, Except Emergency Medical Technicians', 'Driver/Sales Workers', 'Light Truck Drivers', 'Taxi Drivers']",-0.9365306183983924,0.6863888888888888,Not Affected
711,Shipper and Receiver,,Transportation and Storage,Higher Education,No,No,Postal activities,4323,4323,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",['43-5032.00'],"['Dispatchers, Except Police, Fire, and Ambulance']",1.096197891448219,0.6255555555555555,Augmented
712,Site Accounting Assistant (Construction),,Construction,Higher Education,No,Yes,Construction of buildings,4311,4311,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","['43-3021.00', '43-3031.00']","['Billing and Posting Clerks', 'Bookkeeping, Accounting, and Auditing Clerks']",1.007904894311804,0.4641666666666666,Automated
713,Site Engineering Assistant (Licensed Civil Engineer),,Construction,Higher Education,Yes,No,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",2142,2142,17-2051.00,Civil Engineers,"['17-2051.00', '17-2051.01', '17-2051.02']","['Civil Engineers', 'Transportation Engineers', 'Water/Wastewater Engineers']",1.2442193417860723,0.6394444444444445,Augmented
714,Social Listening Research Assistant,,"Professional, Scientific and Technical Activities",Higher Education,No,Yes,Advertising,2642,2642,27-3023.00,"News Analysts, Reporters, and Journalists","['27-3023.00', '27-3041.00']","['News Analysts, Reporters, and Journalists', 'Editors']",0.8767206131646967,0.6397222222222223,Augmented
715,Social Media Manager,,"Professional, Scientific and Technical Activities",Higher Education,No,No,Advertising,2432,2432,27-3031.00,Public Relations Specialists,['27-3031.00'],['Public Relations Specialists'],1.1520491300591629,0.6141666666666666,Automated
716,Social Welfare Assistant (Healthcare),,Human Health and Social Work Activities,Higher Education,Yes,No,Social work activities without accommodation for the elderly and disabled,3412,3412,21-1093.00,Social and Human Service Assistants,['21-1093.00'],['Social and Human Service Assistants'],0.7040484605627692,0.6691666666666666,Augmented
717,Soil and Plant Scientists,,"Professional, Scientific and Technical Activities",Higher Education,No,No,Research and experimental development on natural sciences and engineering,2132,2132,19-1013.00,Soil and Plant Scientists,"['19-1013.00', '19-1032.00', '25-9021.00']","['Soil and Plant Scientists', 'Foresters', 'Farm and Home Management Educators']",0.4926832402408863,0.7025,Augmented
718,SPED Teacher,,Education,Higher Education,Yes,No,Other education services,2352,2352,25-2056.00,"Special Education Teachers, Elementary School","['25-2051.00', '25-2056.00', '25-2057.00', '25-2058.00', '25-2059.00', '25-2059.01']","['Special Education Teachers, Preschool', 'Special Education Teachers, Elementary School', 'Special Education Teachers, Middle School', 'Special Education Teachers, Secondary School', 'Special Education Teachers, All Other', 'Adapted Physical Education Specialists']",0.2771233624829759,0.7033333333333333,Not Affected
719,SPED Teacher (Primary),,Education,Higher Education,Yes,No,Pre-primary education,2352,2352,25-2056.00,"Special Education Teachers, Elementary School","['25-2051.00', '25-2056.00', '25-2057.00', '25-2058.00', '25-2059.00', '25-2059.01']","['Special Education Teachers, Preschool', 'Special Education Teachers, Elementary School', 'Special Education Teachers, Middle School', 'Special Education Teachers, Secondary School', 'Special Education Teachers, All Other', 'Adapted Physical Education Specialists']",0.2771233624829759,0.7033333333333333,Not Affected
720,SPED Teacher (Secondary),,Education,Higher Education,Yes,No,Secondary/high school education,2352,2352,25-2057.00,"Special Education Teachers, Middle School","['25-2051.00', '25-2056.00', '25-2057.00', '25-2058.00', '25-2059.00', '25-2059.01']","['Special Education Teachers, Preschool', 'Special Education Teachers, Elementary School', 'Special Education Teachers, Middle School', 'Special Education Teachers, Secondary School', 'Special Education Teachers, All Other', 'Adapted Physical Education Specialists']",0.2771233624829759,0.7033333333333333,Not Affected
