,,,,,,,,,,,,,,,,
Program with corresponding TVET Program,,,,,,,,,Year 2,,,,Year 3,,,
Importing 2.1,Region,Sector,Subsector,Job Requirement,Programs,"Program
Type","Supply
Gap",,Supply Gap (%),Target Beneficiaries,,,Supply Gap (%),Target Beneficiaries,,
REGION_VII|CONSTRUCTION|HYDRAULIC EXCAVATOR OPERATOR|HYDRAULIC OPERATORS|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR,REGION_VII,CONSTRUCTION,HYDRAULIC EXCAVATOR OPERATOR,HYDRAULIC OPERATORS,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,"1,704",,853,631,222,853,426,318,108,426
REGION_VII|CONSTRUCTION|INDOOR ENVIRONMENT QUALITY|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,INDOOR ENVIRONMENT QUALITY,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,"1,354",,677,508,169,677,339,254,85,339
REGION_VII|CONSTRUCTION|INDUSTRIAL PLUMBING|PLUMBERS|PLUMBING NC III|WITH TR,REGION_VII,CONSTRUCTION,INDUSTRIAL PLUMBING,PLUMBERS,PLUMBING NC III,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|CONSTRUCTION|MMAW|WELDER|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,MMAW,WELDER,MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,MOBILE CRANE OPERATOR,CRANE OPERATORS,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,WITH TR,"1,704",,853,631,222,853,426,318,108,426
REGION_VII|CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|DUMP TRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|WITH TR,REGION_VII,CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,DUMP TRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,WITH TR,"1,704",,853,631,222,853,426,318,108,426
REGION_VII|CONSTRUCTION|PIPEFITTER|FITTERS|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,PIPEFITTER,FITTERS,PIPEFITTING (METALLIC) NC II,WITH TR,"1,704",,853,631,222,853,426,318,108,426
REGION_VII|CONSTRUCTION|PROGRAMABLE LOGIC CONTROLLER|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR,REGION_VII,CONSTRUCTION,PROGRAMABLE LOGIC CONTROLLER,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,"1,413",,707,531,176,707,353,265,88,353
REGION_VII|CONSTRUCTION|RAC TECHNICIAN|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RAC TECHNICIAN,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,"1,699",,850,631,219,850,425,315,110,425
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL)|RAC SERVICING (DOMRAC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,AIRCON INSTALLER (COMMERCIAL/ INDUSTRIAL),RAC SERVICING (DOMRAC) NC II,WITH TR,"4,028",,"1,530",879,651,"1,530","1,168",970,198,"1,168"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING)|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELECTRICIAN (COMMERCIAL AND INDUSTRIAL BUILDING),ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,"9,368",,"3,206","2,928",278,"3,206","3,460","3,372",88,"3,460"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|ELEVATOR INSTALLER|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,ELEVATOR INSTALLER,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,"3,674",,"1,322","1,044",278,"1,322","1,090","1,002",88,"1,090"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,"2,257",,748,548,200,748,691,596,95,691
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,"2,257",,748,548,200,748,691,596,95,691
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER|PLUMBING NC III|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER,PLUMBING NC III,WITH TR,"2,734",,546,404,142,546,956,776,180,956
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PLUMBER|PLUMBING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PLUMBER,PLUMBING NC II,WITH TR,"3,636",,"1,302",724,578,"1,302","1,082",846,236,"1,082"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|SEALANT APPLICATOR|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,SEALANT APPLICATOR,CONSTRUCTION PAINTING NC II,WITH TR,"3,688",,"1,328",924,404,"1,328","1,094",618,476,"1,094"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|CONSTRUCTION ASSISTANT (HOUSEKEEPING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,CONSTRUCTION ASSISTANT (HOUSEKEEPING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"4,984",,"1,876",430,"1,446","1,876","1,536",482,"1,054","1,536"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS|PAINTER|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION HORIZONTAL DIRECT WORKERS,PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,"9,382",,"3,212","1,924","1,288","3,212","3,464","1,734","1,730","3,464"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|DRY WALL AND CEILING INSTALLER|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,DRY WALL AND CEILING INSTALLER,CARPENTRY NC II,WITH TR,"11,866",,"4,856","2,826","2,030","4,856","3,782","2,302","1,480","3,782"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL|ROOF INSTALLER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL,ROOF INSTALLER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"2,734",,546,334,212,546,956,540,416,956
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|CARPENTRY (FINISHING & WOODWORKING)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,CARPENTRY (FINISHING & WOODWORKING),CARPENTRY NC II,WITH TR,"11,866",,"4,856","2,626","2,230","4,856","3,782","2,052","1,730","3,782"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|MASONRY (FINISHING)|MASONRY NC I|WITH TR,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,MASONRY (FINISHING),MASONRY NC I,WITH TR,"8,229",,"3,432","2,601",831,"3,432","2,286","1,909",377,"2,286"
"REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR",REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,"6,130",,"2,026","1,306",720,"2,026","2,046","1,146",900,"2,046"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|SCAFFOLDER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,SCAFFOLDER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"3,762",,"1,008",396,612,"1,008","1,446",562,884,"1,446"
REGION_VII|CONSTRUCTION|RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION|WATERPROOFER (SLABS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,RESIDENTIAL CONSTRUCTION VERTICAL CONSTRUCTION,WATERPROOFER (SLABS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"6,198",,"2,740",482,"2,258","2,740","1,670",582,"1,088","1,670"
REGION_VII|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,ROUGH AND FINISHING CARPENTER,CARPENTERS,CARPENTRY NC II,WITH TR,"1,697",,849,628,221,849,425,318,107,425
REGION_VII|CONSTRUCTION|ROUGH MASON|MASON|MASONRY NC I|WITH TR,REGION_VII,CONSTRUCTION,ROUGH MASON,MASON,MASONRY NC I,WITH TR,"1,651",,826,617,209,826,413,309,104,413
REGION_VII|CONSTRUCTION|SOLAR PANEL INSTALLATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,SOLAR PANEL INSTALLATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|CONSTRUCTION|STRUCTURAL STEEL ERECTOR|STEEL MAN|REINFORCING STEEL WORKS NC II|WITH TR,REGION_VII,CONSTRUCTION,STRUCTURAL STEEL ERECTOR,STEEL MAN,REINFORCING STEEL WORKS NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|CONSTRUCTION|SYSTEM FORMWORKS INSTALLER|SYSTEM FORMWORK INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,SYSTEM FORMWORKS INSTALLER,SYSTEM FORMWORK INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
REGION_VII|CONSTRUCTION|TILE SETTER|TILE SETTER|TILE SETTING NC II|WITH TR,REGION_VII,CONSTRUCTION,TILE SETTER,TILE SETTER,TILE SETTING NC II,WITH TR,"1,702",,852,631,221,852,425,315,110,425
REGION_VII|CONSTRUCTION|TRANSIT MIXER OPERATOR|TRANSIT MIXER OPERATOR|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR,REGION_VII,CONSTRUCTION,TRANSIT MIXER OPERATOR,TRANSIT MIXER OPERATOR,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,"1,704",,853,631,222,853,426,315,111,426
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION|DRAFTSMAN|TECHNICAL DRAFTING NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION
HORIZONTAL CONSTRUCTION
INDUSTRY/INDUSTRIAL CONSTRUCTION
RESIDENTIAL CONSTRUCTION",DRAFTSMAN,TECHNICAL DRAFTING NC II,WITH TR,"2,508",,928,447,481,928,783,340,443,783
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC I|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC I,WITH TR,"4,275",,"1,284",760,524,"1,284","1,713","1,081",632,"1,713"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WELDER (GAS)|GAS WELDING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WELDER (GAS),GAS WELDING NC II,WITH TR,"4,690",,"1,606","1,060",546,"1,606","1,732","1,106",626,"1,732"
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT|HEO EXCAVATOR|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECT WORKERS CORPORATE SUPPORT",HEO EXCAVATOR,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,"1,844",,664,512,152,664,547,463,84,547
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT|HEO BACKHOE LOADER|HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II|WITH TR",REGION_VII,CONSTRUCTION,"VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION
DIRECTO WORKERS CORPORATE SUPPORT",HEO BACKHOE LOADER,HEAVY EQUIPMENT OPERATION (BACKHOE LOADER) NC II,WITH TR,"1,367",,273,237,36,273,478,413,65,478
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (APPLICATION)|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION PAINTER (APPLICATION),CONSTRUCTION PAINTING NC II,WITH TR,"9,382",,"3,212","1,466","1,746","3,212","3,464","1,982","1,482","3,464"
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|CONSTRUCTION PAINTING NC II|WITH TR",REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",CONSTRUCTION PAINTING NC II,WITH TR,"1,844",,664,437,227,664,547,446,101,547
"REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|TILE SETTING NC II|WITH TR",REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",TILE SETTING NC II,WITH TR,"1,778",,631,452,179,631,531,461,70,531
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|DRY WALL AND CEILING INSTALLER|CARPENTRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,DRY WALL AND CEILING INSTALLER,CARPENTRY NC III,WITH TR,"2,734",,546,484,62,546,956,799,157,956
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GLASS INSTALLER (GLAZING WORKS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GLASS INSTALLER (GLAZING WORKS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"2,734",,546,334,212,546,956,468,458,926
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|LAMINATE INSTALLER|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,LAMINATE INSTALLER,CARPENTRY NC II,WITH TR,"11,866",,"4,856","2,926","1,930","4,856","3,782","2,552","1,230","3,782"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TILE SETTING|TILE SETTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TILE SETTING,TILE SETTING NC II,WITH TR,"3,556",,"1,262",924,338,"1,262","1,062",966,96,"1,062"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|AIRLESS PAINTER|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,"3,688",,"1,328",924,404,"1,328","1,094",886,208,"1,094"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|STEELMAN|REINFORCING STEEL WORKS NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,STEELMAN,REINFORCING STEEL WORKS NC II,WITH TR,"2,561",,914,362,552,914,853,515,338,853
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SURVEY ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SURVEY ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,"1,881",,504,193,311,504,723,241,482,723
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SYSTEM FORWORKS INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SYSTEM FORWORKS INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,"1,867",,676,507,169,676,559,443,116,559
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|FDAS TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,FDAS TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,"7,497",,"3,610","3,282",328,"3,610","1,981","1,842",139,"1,981"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,"2,257",,748,548,200,748,691,596,95,691
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,"2,257",,748,548,200,748,691,596,95,691
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|WELDER (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,WELDER (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,"16,998",,"8,500","5,000","3,500","8,500","4,250","2,400","1,850","4,250"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (FINISHING)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (FINISHING),CARPENTRY NC II,WITH TR,"5,933",,"2,428","1,313","1,115","2,428","1,891","1,026",865,"1,891"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (ROUGH)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (ROUGH),CARPENTRY NC II,WITH TR,"5,933",,"2,428","1,313","1,115","2,428","1,891","1,026",865,"1,891"
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|FINISHING MASON|MASONRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,FINISHING MASON,MASONRY NC III,WITH TR,"1,367",,273,227,46,273,478,418,60,478
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SPECIALIZED CARPENTER|CARPENTRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SPECIALIZED CARPENTER,CARPENTRY NC III,WITH TR,"1,367",,273,212,61,273,478,373,105,478
REGION_VII|CONSTRUCTION|VERTICAL HORIZONTAL|WATERPROOFER (VERTICAL WALLS)|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL HORIZONTAL,WATERPROOFER (VERTICAL WALLS),CONSTRUCTION PAINTING NC II,WITH TR,"3,688",,"1,328",374,954,"1,328","1,094",596,498,"1,094"
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|TRANSIT MIXER|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,TRANSIT MIXER,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,"1,367",,273,232,41,273,478,388,90,478
