,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,PSOC,ISCO,SOC
574,Junior Behavioral Health Analyst,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2634.0,2634,19-3039
575,Junior Botanist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,2131.0,2131,19-1099
576,Junior Budget Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,Yes,No,2413.0,2413,13-2061
577,Junior Business Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2413.0,2413,13-2061
578,Junior Business News Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2642.0,2642,27-3041 
579,Junior Business Process Analyst,Information and Communication,Management consultancy activities,Higher Education,No,No,2511.0,2511,15-1121
580,Junior Computational Physicist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,2111.0,2111,19-2012
581,Junior Credit Analyst,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,No,3312.0,3312,13-2072 
582,Junior Database Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2521.0,2521,15-1141
583,Junior Economic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2631.0,2631,19-3011
584,Junior Editorial Researcher,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2642.0,2642,27-3041 
585,Junior Financial Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,Yes,No,2413.0,2413,13-2061
586,Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,2413.0,2413,13-2061
587,Junior Geologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,2114.0,2114,19-2043
588,Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024
589,Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2511.0,2511,15-1121
590,Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,3513.0,3513,15-1152 
591,Junior Landscape Planner,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2164.0,2164,19-3051
592,Junior Physics Instructor,Education,Higher education,Higher Education,No,No,3111.0,3111,19-4099
593,Junior Power Systems Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,2144.0,2144,17-2141 
594,Junior Prepress Technician,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,7322.0,7322,51-5112
595,Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3412.0,3412,21-1093
596,Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,2631.0,2631,19-3011
597,Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2413.0,2413,13-2061
598,Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
599,Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,2512.0,2512,15-1133
600,Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,2131.0,2131,19-1099
601,Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2522.0,2522,15-1142
602,Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,2421.0,2421,13-1111
603,Kiln Operator,Manufacturing                                                ,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,7521.0,7521,51-9191
604,Kindergarten Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,2342.0,2342,25-2012
605,Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,5246.0,5246,35-9011 
606,Knowledge Management Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,2622.0,2622,25-9011
607,Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
608,Laboratory And Metrology Calibration Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,3119.0,3119,53-6041
609,Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3212.0,3212,29-2012
610,"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,9333.0,9333,53-7121
611,Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
612,Landscape Design Assistant (Licensed Architect),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
613,Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,3112.0,3112,47-4011
614,Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,6118.0,6113,45-2091
615,Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,2351.0,2351,25-9031
616,Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,2353.0,2353,25-3099 
617,Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,2353.0,2353,25-3099 
618,Latex Receiver,Manufacturing                                                ,Manufacture of rubber products,Not Higher Education,No,No,8141.0,8141,51-9197
619,Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,8157.0,8157,51-6011
620,Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,8157.0,8157,51-6011
621,Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2651.0,2651,27-1013
622,Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
623,Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,3343.0,3343,43-6011
624,Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3411.0,3411,33-9031
625,Legal Associate,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,Yes,No,3411.0,3411,33-9031
626,Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,2611.0,2611,23-1011
627,Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2310.0,2310,25-1199
628,Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,2423.0,2423,21-1012 
629,"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,3512.0,3512,15-1151 
630,Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,4110.0,4110,43-9061 
631,Librarian,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,2622.0,2622,25-9011
632,Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,2622.0,2622,25-9011
633,Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,4411.0,4411,43-4121
634,Library Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,3433.0,3433,27-1012 
635,Licensed Aeronautical Engineer,Manufacturing                                                ,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,2144.0,2144,17-2141 
636,Licensed Agricultural and Biosystems Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,2149.0,2149,17-2199
637,Licensed Agriculturist,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,Yes,No,3142.0,3142,19-4011
638,Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,7422.0,7422,49-9052
639,Licensed Architect,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2161.0,2161,17-1011
640,Licensed Chemist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,2143.0,2143,17-2081
641,Licensed Criminologist,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,2212.0,2212,29-1069
642,Licensed Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2261.0,2261,29-1029
643,Licensed Nutritionist and Dietician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031
644,Licensed Occupational Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2269.0,2269,29-9092 
645,Licensed Optometrist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2267.0,2267,29-1041
646,Licensed Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2262.0,2262,29-1051
647,Licensed Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128
648,Licensed Psychometrician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2634.0,2634,19-3039
649,Licensed Respiratory Therapist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,2269.0,2269,29-9092 
650,Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3256.0,3256,31-9092
651,Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5419.0,5419,43-5031
652,Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,3435.0,3435,39-3099 
653,Line Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,7422.0,7422,49-9052
654,Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,5151.0,5151,37-1011 
655,Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2353.0,2353,25-3099 
656,Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2353.0,2353,25-3099 
657,Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,2641.0,2641,27-3043
658,Livelihood Education Teacher,Education,Secondary/high school education,Higher Education,Yes,No,2330.0,2330,25-2031
660,Livestock Health Technician,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,3240.0,3240,31-9096
661,Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,6121.0,6121 p,45-2093
662,Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,4213.0,4213,43-3099 
663,Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,3252.0,3252,29-2071 
664,Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
665,Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,5311.0,5311,39-9011
666,Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,4321.0,4321,43-5111
667,Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
668,Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4321.0,4321,43-5111
669,Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,4323.0,4323,43-5032
670,Lumber Quality Analyst,Manufacturing                                                ,Sawmilling and planing of wood,Higher Education,No,No,3119.0,3119,53-6041
671,M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3512.0,3512,15-1151 
672,Machine Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112
673,Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,2512.0,2512,15-1133
674,Machine Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,3511.0,3511,43-9011
675,Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,8189.0,8189,53-7011
676,Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7223.0,7223,51-4199
677,Magician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,2659.0,2659,27-2099
678,Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes,4412.0,4412,43-9051
679,Maintenance Fitter,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,7233.0,7233,49-9081
681,Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,7413.0,7413,49-9051
682,Maintenance Technician,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,3115.0,3115,17-3029
683,Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No,7411.0,7411,47-2231
684,Management Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,2411.0,2411,13-2082
685,Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,3511.0,3511,43-9011
686,Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091
687,Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091
688,Manufacturing Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2141.0,2141,17-2112
689,Manufacturing Equipment Technician,Manufacturing                                                ,Installation of industrial machinery and equipment,Higher Education,No,Yes,3115.0,3115,17-3029
690,Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099
691,Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3115.0,3115,17-3029
692,Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2131.0,2131,19-1099
693,Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,3115.0,3115,17-3029
694,Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No,3152.0,3152,53-5021
695,Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2431.0,2431,27-3043 
696,Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,2431.0,2431,27-3043 
697,Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,2431.0,2431,27-3043 
698,Marketing Professional (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,2431.0,2431,27-3043 
699,Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,2635.0,2635,21-1099
700,Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,2431.0,2431,27-3043 
701,Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,3255.0,3255,31-9011 
702,Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,3142.0,3142,19-4011
703,Mat Weaver,Manufacturing                                                ,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,7318.0,7318,51-6041
704,Material Handlers,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,9329.0,9329,53-7063
705,Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No,4322.0,4322,43-5061 
706,Materials Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2149.0,2149,17-2199
707,Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,3111.0,3111,19-4099
708,Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes,3119.0,3119,53-6041
709,Mathematics Instructor,Education,Higher education,Higher Education,No,No,2310.0,2310,25-1199
710,Mathematics Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,2330.0,2330,25-2031
711,Meat Processor,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,7511.0,7511,51-3091 
712,Mechanical Designer,Manufacturing                                                ,Manufacture of special purpose machinery,Higher Education,No,No,3115.0,3115,17-3029
713,Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,3118.0,3118,27-1013 
714,Mechatronics and Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,7231.0,7231,49-3093
715,Mechatronics Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,2144.0,2144,17-2141 
716,Media Arts Teaching Assistant,Education,Other education services,Higher Education,Yes,No,3521.0,3521,27-4099 
717,Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,3521.0,3521,27-4099 
718,Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,3521.0,3521,27-4099 
719,Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,2432.0,2432,27-3031 
720,Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3256.0,3256,31-9092
721,Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,4312.0,4312,43-9041 
722,Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,4312.0,4312,43-9041 
723,Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3252.0,3252,29-2071 
724,Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,2240.0,2240,29-1071
725,Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,3212.0,3212,29-2012
726,Medical Laboratory Technologist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,3212.0,3212,29-2012
727,Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,2269.0,2269,29-9092 
728,Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,3339.0,3339,41-9099 
729,Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3252.0,3252,29-2071 
730,Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3344.0,3344,43-6013
731,Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,3344.0,3344,43-6013
732,Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,3412.0,3412,21-1093
733,Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,9412.0,9412,35-9099 
734,Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No,2124.0,2120,19-3022
735,Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3117.0,3117,19-4041
736,Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,2131.0,2131,19-1099
737,Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No,3312.0,3312,13-2072 
739,Millwright,Construction,Construction of buildings,Higher Education,No,No,7233.0,7233,49-9081
740,Mine Safety Engineer,Mining and Quarrying,Mining of Metal Ores,Higher Education,Yes,No,2149.0,2149,17-2199
742,MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,3512.0,3512,15-1151 
743,Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,7127.0,7127,49-9021 
744,Mobile Phones And Handheld Gadgets Technician,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No,3114.0,3114,17-3023
745,Mobile Robotics System Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,3119.0,3119,53-6041
746,Mold Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,7211.0,7211,51-4072 
747,Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,2651.0,2651,27-1013
748,Motorcycle/Small Engine Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No,7231.0,7231,49-3093
749,Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8342.0,8342,53-7032
750,Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,2422.0,2422,13-1199
751,Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2166.0,2166,27-1024
752,Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2642.0,2642,27-3041 
753,Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,6221.0,6221 p,45-3031
754,Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,4110.0,4110,43-9061 
755,Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
756,Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,5113.0,5113,39-7012
757,Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3433.0,3433,27-1012 
758,Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,2621.0,2621,25-4012
759,Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,3433.0,3433,27-1012 
760,Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,3433.0,3433,27-1012 
761,Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,2652.0,2652,27-2042
762,Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,3521.0,3521,27-4099 
763,Music Teacher (Choral Director),Education,Other education services,Higher Education,Yes,No,2354.0,2354,25-3021
764,Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,5142.0,5142,39-5094
765,Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,2133.0,2133,19-2041 
766,Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,3115.0,3115,17-3029
767,Network Cabling Technician,Manufacturing                                                ,Manufacture of communication equipment,Not Higher Education,No,Yes,3513.0,3513,15-1152 
768,Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,3513.0,3513,15-1152 
769,News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,3521.0,3521,27-4099 
770,News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,2642.0,2642,27-3041 
771,Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,5221.0,5221,11-1021
772,Nurse Anaesthetist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2221.0,2221,29-1171 
773,Nursery Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,2342.0,2342,25-2012
774,Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,5321.0,5321,31-1014 
775,Nutrition Program Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,2265.0,2265,29-1031
776,Nutritional Product Developer,Manufacturing                                                ,Manufacture of other food products,Higher Education,Yes,No,2265.0,2265,29-1031
777,Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3259.0,3259,31-9099
778,Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,8332.0,8332,53-3032
779,Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,4226.0,4226,43-4171
780,Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes,3116.0,3116,17-3029
781,Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,6117.0,6112,45-2091
782,Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,5222.0,5222,41-1011
783,Operating Theatre Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2221.0,2221,29-1171 
784,Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,3343.0,3343,43-6011
785,Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No,2121.0,2120,19-3022
786,Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,2267.0,2267,29-1041
787,Orchestra Violinist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,2652.0,2652,27-2042
788,Organic Vegetable Farmer,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,6130.0,6130,45-2091
789,Organizational Development Specialist (OD),Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,2423.0,2423,21-1012 
790,Orthopaedic Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,2264.0,2264,29-1128
791,Orthotic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,3214.0,3214,51-9082 
792,Orthotic/Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,3214.0,3214,51-9082 
793,Packagers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities or packaging food products,Not Higher Education,No,No,9321.0,9321,53-7064
794,Painter,Construction,Building completion and finishing,Not Higher Education,No,No,7131.0,7131,47-2142
