Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Promote gender mainstreaming in programs and services|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Promote gender mainstreaming in programs and services,SSP,NUMBER OF PROGRAMS PROMOTING GENDER MAINSTREAMING,0,1,1,1,1,4,0,"10,000","10,000","10,000","10,000","40,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|PTC-MINGLANILLA: RENOVATE WORKSHOPS/FACILITIES|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,PTC-MINGLANILLA: RENOVATE WORKSHOPS/FACILITIES,SSP,,0,1,1,1,1,4,0,"562,000","3,600,000","2,300,000","443,000","6,905,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Regional/Provincial Priority Skills Identified|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Regional/Provincial Priority Skills Identified,MOOE,PROVINCIAL PRIORITY SKILLS UPDATED,1,1,1,1,1,5,0,0,0,0,0,0
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Review/update the training curriculum|SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,Review/update the training curriculum,SSP,NUMBER OF TRAINING CURRICULUM REVIEWED/UPDATED,0,1,1,1,1,4,0,"359,314","359,314","359,314","359,314","1,437,256"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|SITE DEVELOPMENT PLAN DEVELOPED|MOOE,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,SITE DEVELOPMENT PLAN DEVELOPED,MOOE,,0,1,0,0,0,1,0,"50,000",0,0,0,"50,000"
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Technology-abled modalities, processes, or systems developed, implemented, and/or enhanced (digitization, digitalization)|",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"Technology-abled modalities, processes, or systems developed, implemented, and/or enhanced (digitization, digitalization)",,,0,0,1,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|Technology-abled modalities, processes, or systems developed, implemented, and/or enhanced (digitization, digitalization)|SSP",REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,"Technology-abled modalities, processes, or systems developed, implemented, and/or enhanced (digitization, digitalization)",SSP,NUMBER OF DIGITAL COLLABORATION TOOLS INSTALLED OR DEVELOPED,1,1,2,2,1,7,"5,000","5,000","355,000","15,000","5,000","385,000"
REGION_VII|SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced|TVET PROGRAM REGISTRATION ON IDENTIFIED SKILLS PRIORITY|MOOE/SSP,REGION_VII,SP_1: Modern and Responsive Technical and Vocational Training and Lifelong Learning Advanced and Reinforced,TVET PROGRAM REGISTRATION ON IDENTIFIED SKILLS PRIORITY,MOOE/SSP,BASIC COMPUTER LITERACY,1,1,0,0,0,2,"25,000","150,000",0,0,0,"175,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|MOOE / SSP|",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",MOOE / SSP,,,0,3,3,3,3,12,0,"15,000","15,000","15,000","15,000","60,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|SSP|Number of TM/CBTM conducted",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",SSP,Number of TM/CBTM conducted,,2,3,3,3,3,14,"19,328","30,800","30,800","30,800","30,800","142,528"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|SSP|Number of training proposals prepared and implemented",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",SSP,Number of training proposals prepared and implemented,,1,2,2,2,2,9,"60,000","50,000","50,000","50,000","50,000","260,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of graduates (EBT, private sector)|NO. OF EBT GRADUATES",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of graduates (EBT, private sector)",NO. OF EBT GRADUATES,,5,6,6,7,7,31,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of graduates (EBT, private sector)|EBT IMPLEMENTERS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of graduates (EBT, private sector)",EBT IMPLEMENTERS,,15,15,15,15,15,75,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers)|MOOE, SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers),"MOOE, SCHOLARSHIP FUNDS","GRADUATES IN HIGHER-LEVEL QUALIFICATIONS
GRADUATES IN HIGHER-LEVEL TVET PROGRAMS OFFERED BY TTIS",0,50,75,50,50,225,0,"1,000,000","1,000,000","1,000,000","1,000,000","4,000,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers)|MOOE/SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of graduates in higher-level TVET programs offered by TTIs (including their innovation centers),MOOE/SSP,GRADUATES IN HIGHER-LEVEL QUALIFICATIONS,0,25,25,50,75,175,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals who underwent upskilling/reskilling|MOOE, SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of individuals who underwent upskilling/reskilling,"MOOE, SCHOLARSHIP FUNDS",,0,61,61,61,61,244,0,"1,395,000","1,395,000","1,395,000","1,395,000","5,580,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals who underwent upskilling/reskilling|MOOE/SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of individuals who underwent upskilling/reskilling,MOOE/SSP,NUMBER OF TVET GRADUATES (SCHOLARSHIP AND REGULAR),391,775,800,800,900,"3,666",0,"1,783,320","1,800,000","1,800,000","1,800,000","7,183,320"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals who underwent upskilling/reskilling|SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of individuals who underwent upskilling/reskilling,SCHOLARSHIP FUNDS,,0,25,25,25,25,100,0,"625,000","625,000","625,000","625,000","2,500,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals who underwent upskilling/reskilling|SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of individuals who underwent upskilling/reskilling,SSP,,7,2,2,1,2,14,0,"86,000","68,000","43,000","68,000","265,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)|MOOE, SCHOLARSHIP FUNDS
SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)","MOOE, SCHOLARSHIP FUNDS
SSP",NUMBER OF INVIDUALS/ENTERPRISES THAT WERE PROVIDED WITH ENTREPRENEURSHIP TRAINING (YOUTH/ADULTS),"1,866",50,50,50,50,"2,066","1,492,800","55,000","55,000","55,000","55,000","1,712,800"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)|MOOE, SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)","MOOE, SCHOLARSHIP FUNDS","NUMBER OF INDIVIDUALS THAT WERE PROVIDED WITH ENTREPRENEURSHIP TRAINING (YOUTH/ADULTS)
NUMBER OF INVIDUALS/ENTERPRISES THAT WERE PROVIDED WITH ENTREPRENEURSHIP TRAINING (YOUTH/ADULTS)","1,496",75,125,125,125,"1,946","1,196,800","5,000","5,000","5,000","5,000","1,216,800"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)|MOOE/SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)",MOOE/SSP,NUMBER OF INVIDUALS/ENTERPRISES THAT WERE PROVIDED WITH ENTREPRENEURSHIP TRAINING (YOUTH/ADULTS),549,225,225,225,225,"1,449","439,200","1,000","1,000","1,000","1,000","443,200"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)|SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of individuals/enterprises that were provided with entrepreneurship training (youth, adults)",SSP,"NUMBER OF GRADUATES ENDORSED FOR POSSIBLE OJT OR EMPLOYMENT
NUMBER OF WCO/ JOB FAIRS PARTICIPATED",26,26,26,26,26,130,"15,470","20,800","20,800","20,800","20,800","98,670"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of MSMEs served|MOOE/SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of MSMEs served,MOOE/SSP,PARTNERSHIP ESTABLISHED,4,5,5,5,5,24,0,"5,000","5,000","5,000","5,000","20,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of MSMEs served|MOOE",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of MSMEs served,MOOE,PARTNERSHIP ESTABLISHED,0,1,1,1,1,4,0,"5,000","5,000","5,000","5,000","20,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (LGUs, Others)|SUGBO KAHANAS SKILLS DEVEOPMENT PROGRAM ENROLLEES",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of scholarship beneficiaries (LGUs, Others)",SUGBO KAHANAS SKILLS DEVEOPMENT PROGRAM ENROLLEES,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (LGUs, Others)|SPECIAL EDUCATION FUND",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","No. of scholarship beneficiaries (LGUs, Others)",SPECIAL EDUCATION FUND,"SUGBO KAHANAS SKILLS DEVELOPMENT PROGRAM
SUGBO KAHANAS SKILLS DEVEOPMENT PROGRAM ENROLLEES","3,020","3,942","4,794","5,652","6,513","23,921","60,400,000","98,550,000","119,850,000","141,300,000","162,825,000","582,925,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (Other)|SCHOLARHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (Other),SCHOLARHIP FUNDS,"CFSP
CFSP ENROLLEES
UAQTEA
UAQTEA ENROLLEES","4,082","5,968","6,884","8,100","9,262","34,296","181,195,000","260,700,000","296,880,000","346,800,000","394,050,000","1,479,625,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (Other)|SPECIAL EDUCATION FUND",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (Other),SPECIAL EDUCATION FUND,SUGBO ENROLLEES,318,657,805,947,"1,086","3,813","6,360,000","16,425,000","20,125,000","23,675,000","27,150,000","93,735,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (PESFA)|SCHOLARHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (PESFA),SCHOLARHIP FUNDS,PESFA ENROLLEES,520,"1,522","2,522","3,522","4,522","12,608","15,110,000","30,440,000","50,440,000","70,440,000","90,440,000","256,870,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (STEP)|SCHOLARHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (STEP),SCHOLARHIP FUNDS,STEP ENROLLEES,700,"3,755","6,755","9,755","12,755","33,720","19,920,000","93,875,000","168,875,000","243,875,000","318,875,000","845,420,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (TTSP)|SCHOLARHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (TTSP),SCHOLARHIP FUNDS,TTSP ENROLLEES,728,"3,646","6,646","9,646","12,646","33,312","20,515,000","91,150,000","166,150,000","241,150,000","316,150,000","835,115,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (TTSP)|SSP/MOOE/ SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (TTSP),SSP/MOOE/ SCHOLARSHIP FUNDS,,25,0,0,0,0,25,"25,000",0,0,0,0,"25,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (TWSP)|SCHOLARHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (TWSP),SCHOLARHIP FUNDS,TWSP ENROLLEES,"16,748","20,154","23,154","26,154","29,154","115,364","418,700,000","503,850,000","578,850,000","653,850,000","728,850,000","2,884,100,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|No. of scholarship beneficiaries (TWSP)|SSP/MOOE/ SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",No. of scholarship beneficiaries (TWSP),SSP/MOOE/ SCHOLARSHIP FUNDS,,142,0,0,0,0,142,"25,000",0,0,0,0,"25,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|NUMBER OF NON-TRADITIONAL PROGRAMS OFFER TO WOMEN|MOOE / SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",NUMBER OF NON-TRADITIONAL PROGRAMS OFFER TO WOMEN,MOOE / SSP,,0,1,1,1,1,4,0,"30,000","30,000","30,000","30,000","120,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|Percent increase in the number of TVET Scholarship Beneficiaries|MOOE, SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",Percent increase in the number of TVET Scholarship Beneficiaries,"MOOE, SCHOLARSHIP FUNDS",PERCENT INCREASE IN THE NUMBER OF TVET SCHOLARSHIP BENEFICIARIES,450,700,700,700,740,"3,290",0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|Percentage of individuals affected by disasters, calamities, and disruptions, assisted with TVET Programs|MOOE, SCHOLARSHIP FUNDS",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","Percentage of individuals affected by disasters, calamities, and disruptions, assisted with TVET Programs","MOOE, SCHOLARSHIP FUNDS",VICTIMS OF DISASTERS AND CALAMITIES ENROLLEES,527,0,0,0,0,527,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|Percentage of individuals affected by disasters, calamities, and disruptions, assisted with TVET Programs|MOOE/SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced","Percentage of individuals affected by disasters, calamities, and disruptions, assisted with TVET Programs",MOOE/SSP,VICTIMS OF DISASTERS AND CALAMITIES ENROLLEES,527,25,25,25,25,627,0,0,0,0,0,0
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|PTC-MINGLANILLA: IMPLEMENT SIL|SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",PTC-MINGLANILLA: IMPLEMENT SIL,SSP,,0,0,0,1,1,2,0,0,0,"5,000","5,000","10,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|PTC-MINGLANILLA: INSTITUTIONALIZED CGAP PROGRAMS AND SERVICES|SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",PTC-MINGLANILLA: INSTITUTIONALIZED CGAP PROGRAMS AND SERVICES,SSP,,0,1,1,1,1,4,0,"12,000","12,000","12,000","12,000","48,000"
"REGION_VII|SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced|SKILLS TRAINING PROGRAM (REGULAR)|SSP",REGION_VII,"SP_2: Quality, Productivity, and High-Value Employability of Workforce Enhanced",SKILLS TRAINING PROGRAM (REGULAR),SSP,"NO. OF ENROLLEES FOR REGULAR PROGRAM IN HOUSEKEEPING NCII, SMAW NCII AND TM1",77,0,0,0,0,77,0,0,0,0,0,0
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Ensure 90% certification rate of graduates",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Ensure 90% certification rate of graduates,,1,1,1,1,1,5,"10,000","11,564","11,564","11,564","11,564","56,256"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Number of programs conducted",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Number of programs conducted,,1,1,1,1,1,5,"5,000","10,000","10,000","10,000","10,000","45,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Number of PTC Staff  availed courses in TOP and submit Certificate of Completion ",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Number of PTC Staff  availed courses in TOP and submit Certificate of Completion ,,7,7,7,7,7,35,"1,000","1,000","1,000","1,000","1,000","5,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Number of walk-in assessments conducted",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Number of walk-in assessments conducted,,50,50,50,50,50,250,"85,000","84,850","84,850","84,850","84,850","424,400"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Percentage of Compliant to UTPRAS requirements in OAP NC II program",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Percentage of Compliant to UTPRAS requirements in OAP NC II program,,1,1,1,1,1,5,"43,675","198,416","198,416","198,416","198,416","837,339"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Percentage of Enhancement of CBLMs and other learning materials for all programs",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,Percentage of Enhancement of CBLMs and other learning materials for all programs,,0,1,1,1,1,4,"33,923","59,153","88,730","118,306","118,306","418,418"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|SSP|Percentage of training modules Incorporated with  GAD,STEM and 21st Century skills ",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",SSP,"Percentage of training modules Incorporated with  GAD,STEM and 21st Century skills ",,1,1,1,1,1,4,"28,342","166,432","166,432","166,432","166,432","694,070"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|Advocacy programs on PQF and PSF implemented|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",Advocacy programs on PQF and PSF implemented,SSP,,0,1,0,1,0,2,0,"21,410",0,"21,410",0,"42,820"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|Competency Standards or curricula on creativity, entrepreneurship, innovation and other soft skills formulated|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened","Competency Standards or curricula on creativity, entrepreneurship, innovation and other soft skills formulated",SSP,"INSTITUTIONALIZED GREEN TVET PRACTICES
PTC-MINGLANILLA: UTILIZED GAD MODULE IN TTHE TESDA ONLINE PROGRAM",2,2,2,2,2,10,"26,500","61,500","61,500","61,500","61,500","272,500"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|No. of skills competitions conducted|MOOE",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",No. of skills competitions conducted,MOOE,NUMBER OF SKILLS COMPETITION PARTICIPATED,0,3,4,3,3,13,0,"555,000","555,000","55,000","55,000","1,220,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|No. of skills competitions conducted|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",No. of skills competitions conducted,SSP,,0,1,0,0,0,1,0,0,0,0,0,0
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|Number of curriculum review conducted|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",Number of curriculum review conducted,SSP,,0,0,1,0,0,1,0,0,158,0,0,158
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|Number of trainings, workshops on QMS development attended|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened","Number of trainings, workshops on QMS development attended",SSP,,0,1,1,1,1,4,0,"60,000","60,000","60,000","60,000","240,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|PTC-MINGLANILLA: AC WITH SEAL OF INTEGRITY|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",PTC-MINGLANILLA: AC WITH SEAL OF INTEGRITY,SSP,CANDIDATE STATUS FOR AC SEAL OF INTEGRITY,1,1,1,1,1,5,0,"45,000","45,000","45,000","45,000","180,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|PTC-MINGLANILLA: CAPACITY BUILDING FOR ALL PERSONNEL IN QUALITY MANAGEMENT SYSTEM|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",PTC-MINGLANILLA: CAPACITY BUILDING FOR ALL PERSONNEL IN QUALITY MANAGEMENT SYSTEM,SSP,,0,0,1,1,1,3,0,0,"75,000","75,000","75,000","225,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|PTC-MINGLANILLA: CAPACITY BUILDING FOR ALL TRAINER IN SYSTEM FOR TVET ACCREDITATION AND RECOGNITION (STAR) AWARDS PROGRAM|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",PTC-MINGLANILLA: CAPACITY BUILDING FOR ALL TRAINER IN SYSTEM FOR TVET ACCREDITATION AND RECOGNITION (STAR) AWARDS PROGRAM,SSP,,0,0,1,1,1,3,0,0,"15,000","15,000","15,000","45,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|PTC-MINGLANILLA: ESTABLISH QUALITY MANAGEMENT SYSTEM|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",PTC-MINGLANILLA: ESTABLISH QUALITY MANAGEMENT SYSTEM,SSP,,0,0,1,0,1,2,0,0,"75,000",0,"75,000","150,000"
"REGION_VII|SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened|PTC-MINGLANILLA: NO. OF WELLNESS PROGRAM IMPLEMENTED FOR PERSONNEL ANNUALLY|SSP",REGION_VII,"SP_3: Quality Assurance on Certifications, Standards, Equivalencies, and Qualifications Strengthened",PTC-MINGLANILLA: NO. OF WELLNESS PROGRAM IMPLEMENTED FOR PERSONNEL ANNUALLY,SSP,,1,1,1,1,1,5,0,"15,000","15,000","15,000","15,000","60,000"
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|% increase of programs offered by Enterprise-based Training Implementers|INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",% increase of programs offered by Enterprise-based Training Implementers,INDUSTRY PARTNERS,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|% increase of programs offered by Enterprise-based Training Implementers|MOOE, INDUSTRY PARTNERS",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",% increase of programs offered by Enterprise-based Training Implementers,"MOOE, INDUSTRY PARTNERS",,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|% increase of programs offered by Enterprise-based Training Implementers|MOOE",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",% increase of programs offered by Enterprise-based Training Implementers,MOOE,,0,0,0,0,0,0,0,0,0,0,0,0
"REGION_VII|SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained|SSP|Number of Alumni Activity Conducted",REGION_VII,"SP_4: Collaborations with Industry, Government, Academe, and Other Stakeholders Expanded and Sustained",SSP,Number of Alumni Activity Conducted,,1,1,1,1,1,5,"5,000","103,000","103,000","103,000","103,000","417,000"
