IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE|▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|Diploma Programs|TASK 1 ENSURE CONSTRUCTION PROJECTS ADHERE TO BUILDING CODES, REGULATIONS, AND ZONING ORDINANCES, CONDUCTING INSPECTIONS, REVIEWING PLANS, AND PROVIDING TECHNICAL ASSISTANCE TO ENSURE SAFETY AND COMPLIANCE 
TASK 2 USE COMPUTER AIDED DESIGN (CAD) SOFTWARE TO DRAFT PROJECT DRAWINGS. 
TASK 3 SUPERVISES AND COORDINATES CONSTRUCTION WORKERS, ENSURING PROJECTS ARE COMPLETED ON TIME, WITHIN BUDGET, AND TO SPECIFIED QUALITY STANDARDS, WHILE A CONSTRUCTION COORDINATOR MANAGES PROJECT PLANNING, TEAM COORDINATION, AND ENSURES COMPLIANCE WITH SAFETY AND BUILDING CODES. 
TASK 4 DETERMINE THE OVERALL COST OF A CONSTRUCTION PROJECT BY ANALYZING PLANS, SPECIFICATIONS, AND MATERIALS, ESTIMATING LABOR AND EQUIPMENT COSTS, AND PREPARING BIDS AND PROPOSALS.",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION, INDUSTRIAL CONSTRUCTION, EQUIPMENT OPERATIONS AND MAINTENANCE","▪ BUILDING INSPECTOR ▪ CIVIL ENGINEERING DESIGN TECHNOLOGIST ▪ MATERIALS TESTING TECHNOLOGIST. ▪ CONSTRUCTION COORDINATOR, FOREMAN, OR SUPERINTENDENT ▪ ESTIMATOR ▪ TECHNICAL REPRESENTATIVE ▪ FIELD TECHNICAL ASSISTANT ▪ DRAFTSMAN/CAD OPERATOR ▪ REBAR FIXER ▪ BUILDING ELECTRICIAN ▪ BRICK LAYER/MASON ▪ PLUMBER",DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,Diploma Programs,"TASK 1 ENSURE CONSTRUCTION PROJECTS ADHERE TO BUILDING CODES, REGULATIONS, AND ZONING ORDINANCES, CONDUCTING INSPECTIONS, REVIEWING PLANS, AND PROVIDING TECHNICAL ASSISTANCE TO ENSURE SAFETY AND COMPLIANCE 
TASK 2 USE COMPUTER AIDED DESIGN (CAD) SOFTWARE TO DRAFT PROJECT DRAWINGS. 
TASK 3 SUPERVISES AND COORDINATES CONSTRUCTION WORKERS, ENSURING PROJECTS ARE COMPLETED ON TIME, WITHIN BUDGET, AND TO SPECIFIED QUALITY STANDARDS, WHILE A CONSTRUCTION COORDINATOR MANAGES PROJECT PLANNING, TEAM COORDINATION, AND ENSURES COMPLIANCE WITH SAFETY AND BUILDING CODES. 
TASK 4 DETERMINE THE OVERALL COST OF A CONSTRUCTION PROJECT BY ANALYZING PLANS, SPECIFICATIONS, AND MATERIALS, ESTIMATING LABOR AND EQUIPMENT COSTS, AND PREPARING BIDS AND PROPOSALS."
"REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|ANIMATOR|2D ANIMATION NC III|With TR|DESIGN AND CREATE 2D CHARACTERS
DRAW AND SEQUENCE INDIVIDUAL FRAMES
CREATE 2D DIGITAL CUT-OUT ANIMATION
PRODUCE TRADITIONAL KEY POSES/DRAWINGS FOR ANIMATION
CREATE TRADIGITAL ANIMATION
EXPORT ANIMATION TO VIDEO FILE FORMATDEVELOP AND CONCEPTUALIZE ART STYLE
CREATE STORYBOARD AND ASSET LIST
PREPARE ART DOCUMENT
DEVELOP FINAL ARTWORK USING GRAPHIC APPLICATION
APPLY IN-GAME ANIMATIONCREATE 3D MODELS FOR ANIMATION
APPLY SHADER AND TEXTURE ON 3D MODELS
SET CHARACTER RIGGING
ANIMATE CHARACTER
LIGHT AND RENDER ANIMATION SCENEDEVELOP 3D MODEL USING 3D GRAPHIC APPLICATION
DEVELOP 3D TEXTURES USING GRAPHIC APPLICATION
DEVELOP AND CONCEPTUALIZE ART STYLE
CREATE STORYBOARD AND ASSET LIST
PREPARE ART DOCUMENT
APPLY RIGGED IN-GAME ANIMATION",REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,ANIMATOR,2D ANIMATION NC III,With TR,"DESIGN AND CREATE 2D CHARACTERS
DRAW AND SEQUENCE INDIVIDUAL FRAMES
CREATE 2D DIGITAL CUT-OUT ANIMATION
PRODUCE TRADITIONAL KEY POSES/DRAWINGS FOR ANIMATION
CREATE TRADIGITAL ANIMATION
EXPORT ANIMATION TO VIDEO FILE FORMATDEVELOP AND CONCEPTUALIZE ART STYLE
CREATE STORYBOARD AND ASSET LIST
PREPARE ART DOCUMENT
DEVELOP FINAL ARTWORK USING GRAPHIC APPLICATION
APPLY IN-GAME ANIMATIONCREATE 3D MODELS FOR ANIMATION
APPLY SHADER AND TEXTURE ON 3D MODELS
SET CHARACTER RIGGING
ANIMATE CHARACTER
LIGHT AND RENDER ANIMATION SCENEDEVELOP 3D MODEL USING 3D GRAPHIC APPLICATION
DEVELOP 3D TEXTURES USING GRAPHIC APPLICATION
DEVELOP AND CONCEPTUALIZE ART STYLE
CREATE STORYBOARD AND ASSET LIST
PREPARE ART DOCUMENT
APPLY RIGGED IN-GAME ANIMATION"
"REGION_VII|CREATIVE SECTOR|DESIGN CREATIVE|EVENTS COORDINATOR|EVENTS MANAGEMENT SERVICES NC III|With TR|CONCEPTUALIZE, PLAN, AND EXECUTE A WIDE RANGE OF EVENTS
DEVELOP INNOVATIVE AND ENGAGING EVENT THEMES AND DESIGN ELEMENTS
DEVELOP AND IMPLEMENT MARKETING STRATEGIES
PROVIDE ON-SITE SUPERVISION DURING EVENTS
CONDUCT POST-EVENT EVALUATIONS
PREPARE TERMINAL REPORTS
DEVELOP AN EVENT CONCEPT
PLAN AND DEVELOP EVENT PROPOSAL OR BID
DEVELOP EVENT DESIGN
SELECT EVENT SUPPLIERS
PREPARE EVENT FINANCIAL PLAN
FINALIZE EVENT PLANS AND PROGRAMS FOR IMPLEMENTATION
PROVIDE ONLINE AND/OR ON-SITE EVENT MANAGEMENT SERVICES
OVERSEE FINANCIAL TRANSACTIONS",REGION_VII,CREATIVE SECTOR,DESIGN CREATIVE,EVENTS COORDINATOR,EVENTS MANAGEMENT SERVICES NC III,With TR,"CONCEPTUALIZE, PLAN, AND EXECUTE A WIDE RANGE OF EVENTS
DEVELOP INNOVATIVE AND ENGAGING EVENT THEMES AND DESIGN ELEMENTS
DEVELOP AND IMPLEMENT MARKETING STRATEGIES
PROVIDE ON-SITE SUPERVISION DURING EVENTS
CONDUCT POST-EVENT EVALUATIONS
PREPARE TERMINAL REPORTS
DEVELOP AN EVENT CONCEPT
PLAN AND DEVELOP EVENT PROPOSAL OR BID
DEVELOP EVENT DESIGN
SELECT EVENT SUPPLIERS
PREPARE EVENT FINANCIAL PLAN
FINALIZE EVENT PLANS AND PROGRAMS FOR IMPLEMENTATION
PROVIDE ONLINE AND/OR ON-SITE EVENT MANAGEMENT SERVICES
OVERSEE FINANCIAL TRANSACTIONS"
"REGION_VII|CREATIVE SECTOR|PHOTOGRAPHY|FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER|PHOTOGRAPHY NC II|With TR|CAPTURE HIGH-QUALITY IMAGES FOR VARIOUS PURPOSES
CONSULT WITH CLIENTS TO UNDERSTAND THEIR NEEDS AND EXPECTATIONS
PREPARE AND SET UP CAMERA EQUIPMENT, LIGHTING, AND BACKDROPS
UTILIZE PHOTO EDITING SOFTWARE TO RETOUCH AND ENHANCE IMAGES
MAINTAIN AND UPDATE A PORTFOLIO OF WORK TO SHOWCASE SKILLS",REGION_VII,CREATIVE SECTOR,PHOTOGRAPHY,FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER,PHOTOGRAPHY NC II,With TR,"CAPTURE HIGH-QUALITY IMAGES FOR VARIOUS PURPOSES
CONSULT WITH CLIENTS TO UNDERSTAND THEIR NEEDS AND EXPECTATIONS
PREPARE AND SET UP CAMERA EQUIPMENT, LIGHTING, AND BACKDROPS
UTILIZE PHOTO EDITING SOFTWARE TO RETOUCH AND ENHANCE IMAGES
MAINTAIN AND UPDATE A PORTFOLIO OF WORK TO SHOWCASE SKILLS"
REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (BALLROOM DANCER)|PERFORMING ARTS (BALLROOM DANCING) NC II|With TR|PERFORM BALLROOM DANCES IN VARIOUS SETTINGS,REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (BALLROOM DANCER),PERFORMING ARTS (BALLROOM DANCING) NC II,With TR,PERFORM BALLROOM DANCES IN VARIOUS SETTINGS
"REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (DANCER)|PERFORMING ARTS (DANCE) NC II|With TR|PERFORM DANCES IN VARIOUS SETTINGS
LEARN AND EXECUTE CHOREOGRAPHED ROUTINES",REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (DANCER),PERFORMING ARTS (DANCE) NC II,With TR,"PERFORM DANCES IN VARIOUS SETTINGS
LEARN AND EXECUTE CHOREOGRAPHED ROUTINES"
"REGION_VII|CREATIVE SECTOR|CIRCUS LIVE EVENTS|PERFORMER (MAGICIAN)|PERFORMING ARTS (MAGICIAN) NC II|With TR|PERFORM MAGIC TRICKS AND ILLUSIONS IN VARIOUS SETTINGS
DEVELOP AND PLAN MAGIC ROUTINES
DEVELOP NEW TRICKS AND ILLUSIONS",REGION_VII,CREATIVE SECTOR,CIRCUS LIVE EVENTS,PERFORMER (MAGICIAN),PERFORMING ARTS (MAGICIAN) NC II,With TR,"PERFORM MAGIC TRICKS AND ILLUSIONS IN VARIOUS SETTINGS
DEVELOP AND PLAN MAGIC ROUTINES
DEVELOP NEW TRICKS AND ILLUSIONS"
"REGION_VII|CREATIVE SECTOR|LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA|PERFORMER (SINGER)|PERFORMING ARTS (SONG) NC II|With TR|PERFORM SONGS IN A VARIETY OF GENRES AND STYLES IN VARIOUS SETTINGS
INTERPRET AND CONVEY THE EMOTION AND MEANING OF SONGS THROUGH VOCAL DELIVERY AND PERFORMANCE TECHNIQUES.",REGION_VII,CREATIVE SECTOR,LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA,PERFORMER (SINGER),PERFORMING ARTS (SONG) NC II,With TR,"PERFORM SONGS IN A VARIETY OF GENRES AND STYLES IN VARIOUS SETTINGS
INTERPRET AND CONVEY THE EMOTION AND MEANING OF SONGS THROUGH VOCAL DELIVERY AND PERFORMANCE TECHNIQUES."
"REGION_VII|CREATIVE SECTOR|GASTRONOMY|SERVER|FOOD AND BEVERAGE SERVICES NC II|With TR|PROVIDE EXCEPTIONAL SERVICE TO GUESTS, ENSURING A MEMORABLE DINING EXPERIENCE THAT HIGHLIGHTS THE CREATIVITY AND ARTISTRY OF THE MENU",REGION_VII,CREATIVE SECTOR,GASTRONOMY,SERVER,FOOD AND BEVERAGE SERVICES NC II,With TR,"PROVIDE EXCEPTIONAL SERVICE TO GUESTS, ENSURING A MEMORABLE DINING EXPERIENCE THAT HIGHLIGHTS THE CREATIVITY AND ARTISTRY OF THE MENU"
"REGION_VII|CREATIVE SECTOR|VLOGS|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION LEVEL III|With CS|UTILIZE EDITING SOFTWARE
EDIT AND ASSEMBLE RAW FOOTAGE INTO A POLISHED FINAL PRODUCT
UTILIZE EDITING TECHNIQUES 
PERFORM COLOR CORRECTION AND GRADING
ORGANIZE AND MANAGE DIGITAL FILES
KEEP UP-TO-DATE WITH THE LATEST EDITING SOFTWARE, TECHNIQUES, AND INDUSTRY TRENDS",REGION_VII,CREATIVE SECTOR,VLOGS,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION LEVEL III,With CS,"UTILIZE EDITING SOFTWARE
EDIT AND ASSEMBLE RAW FOOTAGE INTO A POLISHED FINAL PRODUCT
UTILIZE EDITING TECHNIQUES 
PERFORM COLOR CORRECTION AND GRADING
ORGANIZE AND MANAGE DIGITAL FILES
KEEP UP-TO-DATE WITH THE LATEST EDITING SOFTWARE, TECHNIQUES, AND INDUSTRY TRENDS"
"REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|VISUAL GRAPHIC MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|With TR|CREATE VISUALLY APPEALING GRAPHICS FOR DIGITAL AND PRINT MEDIA

DEVELOP DESIGNS FOR PRODUCT PACKAGING
DEVELOP DESIGNS FOR A LOGO
DEVELOP DESIGNS FOR PRINT MEDIA
DEVELOP DESIGNS FOR USER EXPERIENCE
DEVELOP DESIGNS FOR USER INTERFACE
DESIGN BOOTH AND PRODUCT/ WINDOW DISPLAY",REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,VISUAL GRAPHIC MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,With TR,"CREATE VISUALLY APPEALING GRAPHICS FOR DIGITAL AND PRINT MEDIA

DEVELOP DESIGNS FOR PRODUCT PACKAGING
DEVELOP DESIGNS FOR A LOGO
DEVELOP DESIGNS FOR PRINT MEDIA
DEVELOP DESIGNS FOR USER EXPERIENCE
DEVELOP DESIGNS FOR USER INTERFACE
DESIGN BOOTH AND PRODUCT/ WINDOW DISPLAY"
"REGION_VII|CREATIVE SECTOR|TEXTILE DEVELOPMENT|HANDLOOM WEAVER|HANDLOOM WEAVING (UPRIGHT) NC II|With TR|SET UP AND PREPARE LOOMS FOR WEAVING
OPERATE HANDLOOM MACHINES
INTERPRET AND FOLLOW PATTERN INSTRUCTIONS
CLEAN AND MAINTAIN HANDLOOM MACHINES
IDENTIFY AND REPAIR ANY ISSUES WITH THE WEAVING PROCESS OR LOOM
CONDUCT POST-PRODUCTION ACTIVITIES
CONDUCT PRE-HANDLOOM WEAVING ACTIVITIES
PREFORM BACKSTRAP LOOM WEAVINGCONDUCT POST-WEAVING ACTIVITIES
CONDUCT PRE-HANDLOOM WEAVING ACTIVITIES
PERFORM UPRIGHT LOOM WEAVING",REGION_VII,CREATIVE SECTOR,TEXTILE DEVELOPMENT,HANDLOOM WEAVER,HANDLOOM WEAVING (UPRIGHT) NC II,With TR,"SET UP AND PREPARE LOOMS FOR WEAVING
OPERATE HANDLOOM MACHINES
INTERPRET AND FOLLOW PATTERN INSTRUCTIONS
CLEAN AND MAINTAIN HANDLOOM MACHINES
IDENTIFY AND REPAIR ANY ISSUES WITH THE WEAVING PROCESS OR LOOM
CONDUCT POST-PRODUCTION ACTIVITIES
CONDUCT PRE-HANDLOOM WEAVING ACTIVITIES
PREFORM BACKSTRAP LOOM WEAVINGCONDUCT POST-WEAVING ACTIVITIES
CONDUCT PRE-HANDLOOM WEAVING ACTIVITIES
PERFORM UPRIGHT LOOM WEAVING"
"REGION_VII|ELECTRICAL & ELECTRONICS|INDUSTRIAL AUTOMATION|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|With TR|INSTALL, CONFIGURE, AND CALIBRATE MECHATRONIC SYSTEMS AND AUTOMATED EQUIPMENT; DIAGNOSE AND TROUBLESHOOT ISSUES IN ELECTRICAL, MECHANICAL, AND SOFTWARE COMPONENTS; PROGRAM, TEST, AND ADJUST PLCs, MICROCONTROLLERS, AND CONTROL SYSTEMS FOR OPTIMAL PERFORMANCE; PERFORM PREVENTIVE, CORRECTIVE, AND PREDICTIVE MAINTENANCE ON AUTOMATED SYSTEMS; CONDUCT SYSTEM COMMISSIONING, VALIDATION, AND PERFORMANCE TESTING BEFORE FULL DEPLOYMENT; 
INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM",REGION_VII,ELECTRICAL & ELECTRONICS,INDUSTRIAL AUTOMATION,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,With TR,"INSTALL, CONFIGURE, AND CALIBRATE MECHATRONIC SYSTEMS AND AUTOMATED EQUIPMENT; DIAGNOSE AND TROUBLESHOOT ISSUES IN ELECTRICAL, MECHANICAL, AND SOFTWARE COMPONENTS; PROGRAM, TEST, AND ADJUST PLCs, MICROCONTROLLERS, AND CONTROL SYSTEMS FOR OPTIMAL PERFORMANCE; PERFORM PREVENTIVE, CORRECTIVE, AND PREDICTIVE MAINTENANCE ON AUTOMATED SYSTEMS; CONDUCT SYSTEM COMMISSIONING, VALIDATION, AND PERFORMANCE TESTING BEFORE FULL DEPLOYMENT; 
INSTALL MECHATRONICS AND AUTOMATION DEVICES
CONFIGURE AND TEST MECHATRONICS AND AUTOMATION SYSTEM"
