,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (APPLICATION)|CONSTRUCTION PAINTING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION PAINTER (APPLICATION),CONSTRUCTION PAINTING NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|CONSTRUCTION PAINTING NC II|WITH TR|LOW",REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))|TILE SETTING NC II|WITH TR|MEDIUM",REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,"CONSTRUCTION PAINTER (REPAIR AND ARTISTIC APPLICATION, MIXING))",TILE SETTING NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|DRY WALL AND CEILING INSTALLER|CARPENTRY NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,DRY WALL AND CEILING INSTALLER,CARPENTRY NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|DRY WALL AND CEILING INSTALLER|CARPENTRY NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,DRY WALL AND CEILING INSTALLER,CARPENTRY NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GLASS INSTALLER (GLAZING WORKS)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GLASS INSTALLER (GLAZING WORKS),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|LAMINATE INSTALLER|CARPENTRY NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,LAMINATE INSTALLER,CARPENTRY NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|LAMINATE INSTALLER|CARPENTRY NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,LAMINATE INSTALLER,CARPENTRY NC II,WITH TR,MEDIUM,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TILE SETTING|TILE SETTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TILE SETTING,TILE SETTING NC II,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|AIRLESS PAINTER|CONSTRUCTION PAINTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|AIRLESS PAINTER|CONSTRUCTION PAINTING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|STEELMAN|REINFORCING STEEL WORKS NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,STEELMAN,REINFORCING STEEL WORKS NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SURVEY ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SURVEY ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SYSTEM FORWORKS INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SYSTEM FORWORKS INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|FDAS TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|HIGH,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,FDAS TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,HIGH,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|WELDER (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR|HIGH,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,WELDER (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,HIGH,,0,0,9,9,,0,0,9,9
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|WELDER (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,WELDER (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,LOW,,0,0,9,9,,0,0,9,9
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (FINISHING)|CARPENTRY NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (FINISHING),CARPENTRY NC II,WITH TR,MEDIUM,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (ROUGH)|CARPENTRY NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (ROUGH),CARPENTRY NC II,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|FINISHING MASON|MASONRY NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,FINISHING MASON,MASONRY NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SPECIALIZED CARPENTER|CARPENTRY NC III|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SPECIALIZED CARPENTER,CARPENTRY NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|CONSTRUCTION|VERTICAL HORIZONTAL|WATERPROOFER (VERTICAL WALLS)|CONSTRUCTION PAINTING NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL HORIZONTAL,WATERPROOFER (VERTICAL WALLS),CONSTRUCTION PAINTING NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL HORIZONTAL|WATERPROOFER (VERTICAL WALLS)|CONSTRUCTION PAINTING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL HORIZONTAL,WATERPROOFER (VERTICAL WALLS),CONSTRUCTION PAINTING NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|TRANSIT MIXER|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,TRANSIT MIXER,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|SCAFFOLDER|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,SCAFFOLDER,SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,MEDIUM,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR|HIGH,REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,HIGH,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR|LOW,REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,LOW,,0,0,9,9,,0,0,9,9
"REGION_VII|CEBU|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW",REGION_VII,CEBU,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|CIRCUS LIVE EVENTS|PERFORMER (MAGICIAN)|PERFORMING ARTS (MAGICIAN) NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,CIRCUS LIVE EVENTS,PERFORMER (MAGICIAN),PERFORMING ARTS (MAGICIAN) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (BALLROOM DANCER)|PERFORMING ARTS (BALLROOM DANCING) NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (BALLROOM DANCER),PERFORMING ARTS (BALLROOM DANCING) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (DANCER)|PERFORMING ARTS (DANCE) NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (DANCER),PERFORMING ARTS (DANCE) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|DESIGN CREATIVE|EVENTS COORDINATOR|EVENTS MANAGEMENT SERVICES NC III|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,DESIGN CREATIVE,EVENTS COORDINATOR,EVENTS MANAGEMENT SERVICES NC III,WITH TR,LOW,,0,0,3,3,,0,0,3,3
REGION_VII|CEBU|CREATIVE SECTOR|GASTRONOMY|SERVER|FOOD AND BEVERAGE SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,GASTRONOMY,SERVER,FOOD AND BEVERAGE SERVICES NC II,WITH TR,LOW,,0,0,4,4,,0,0,4,4
REGION_VII|CEBU|CREATIVE SECTOR|GRAPHIC DESIGNING|ANIMATOR|2D ANIMATION NC III|WITH TR|MEDIUM,REGION_VII,CEBU,CREATIVE SECTOR,GRAPHIC DESIGNING,ANIMATOR,2D ANIMATION NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|GRAPHIC DESIGNING|VISUAL GRAPHIC MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,GRAPHIC DESIGNING,VISUAL GRAPHIC MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA|PERFORMER (SINGER)|PERFORMING ARTS (SONG) NC II|WITH TR|HIGH,REGION_VII,CEBU,CREATIVE SECTOR,LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA,PERFORMER (SINGER),PERFORMING ARTS (SONG) NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|PHOTOGRAPHY|FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER|PHOTOGRAPHY NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,PHOTOGRAPHY,FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER,PHOTOGRAPHY NC II,WITH TR,LOW,,0,0,2,2,,0,0,2,2
REGION_VII|CEBU|CREATIVE SECTOR|TEXTILE DEVELOPMENT|HANDLOOM WEAVER|HANDLOOM WEAVING (UPRIGHT) NC II|WITH TR|LOW,REGION_VII,CEBU,CREATIVE SECTOR,TEXTILE DEVELOPMENT,HANDLOOM WEAVER,HANDLOOM WEAVING (UPRIGHT) NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|VLOGS|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION LEVEL III|WITH CS|LOW,REGION_VII,CEBU,CREATIVE SECTOR,VLOGS,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|CREATIVE SECTOR|VLOGS|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION LEVEL III|WITH CS|MEDIUM,REGION_VII,CEBU,CREATIVE SECTOR,VLOGS,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION LEVEL III,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|ELECTRICAL & ELECTRONICS|ELECTRICAL AND ELECTRONICS|MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY|DIPLOMA PROGRAMS|LOW",REGION_VII,CEBU,ELECTRICAL & ELECTRONICS,ELECTRICAL AND ELECTRONICS,"MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ELECTRICAL & ELECTRONICS|INDUSTRIAL AUTOMATION|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR|MEDIUM,REGION_VII,CEBU,ELECTRICAL & ELECTRONICS,INDUSTRIAL AUTOMATION,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|DESIGNATED ESTABLISHMENTS|TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER|ENERGY EFFICIENCY AND CONSERVATION LEVEL III|WITH CS|LOW,REGION_VII,CEBU,ENERGY,DESIGNATED ESTABLISHMENTS,TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER,ENERGY EFFICIENCY AND CONSERVATION LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|ENERGY|EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES|EVSE INSTALLATION TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|HIGH",REGION_VII,CEBU,ENERGY,"EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES",EVSE INSTALLATION TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,HIGH,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|CHARGING FACILITY MANAGER/SAFETY OFFICER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,CHARGING FACILITY MANAGER/SAFETY OFFICER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|CHARGING SERVICE PERSONNEL|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,CHARGING SERVICE PERSONNEL,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|EVSE REPAIR AND MAINTENANCE|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|MEDIUM,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,EVSE REPAIR AND MAINTENANCE,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,MEDIUM,,0,0,6,6,,0,0,6,6
REGION_VII|CEBU|ENERGY|EV CHARGING STATION OPERATION|TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV CHARGING STATION OPERATION,TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES)|EV DRIVER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,ENERGY,EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES),EV DRIVER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EV ELECTRICAL ASSEMBLY|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR|MEDIUM,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EV ELECTRICAL ASSEMBLY,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EV MECHANICAL ASSEMBLY PERSONNEL|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR|MEDIUM,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EV MECHANICAL ASSEMBLY PERSONNEL,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EV TEST TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EV TEST TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV MANUFACTURING|EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|HIGH,REGION_VII,CEBU,ENERGY,EV MANUFACTURING,EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV ELECTRICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR|MEDIUM,REGION_VII,CEBU,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV ELECTRICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,MEDIUM,,0,0,1,1,,0,0,1,1
