Industry Boards Established by Year and by Sector,,,,,,,,,Partners Established by Year and by Sector,,,,,,,"Partnership Established for the Implementation of EBT program by Year, and by type of Enterprise",,,
"Importing 1.1
(from Pooling, Industry Boards )
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,"Importing 1.1
(from Pooling, Partners Established)
[Region|Province|Year|Sector|Organizations|Collab]",Region,Province,Year,Sector,Target Organizations,Areas for Collaboration,,Region,"Baseline
(DTI 2022 Philippine MSME Statistics in Brief)",Year 2,Year 3
,,,,,,,,"REGION VII|CEBU|2025|CREATIVE SECTOR|CEBU TECHNOLOGICAL UNIVERSITY - HINABLON SA CEBU - A DTI SHARED SERVICE FACILITY FOR HANDLOOM WEAVING|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),DANAO COCO PALMS RESORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|DALAGUETE UNITED FARMERS AND FISHERMAN ASSOCIATION (DUFAFA)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),GOLDEN PRINCE HOTEL & SUITES,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|AGRICULTURE FORESTRY AND FISHERY|DALAGUETE VEGETABLE GROWERS ASSOCIATION (DAVEGA)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),KANDAYA RESORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|BALAMBAN APIARISTS FOR NATURE AND AGRICULTURE|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),MALAPASCUA EXOTIC ISLAND DIVE & BEACH RESORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|MINING|CARMEN COPPER CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,TOURISM (HOTEL AND RESTAURANT),NUSTAR,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|ENERGY|FIRST TOLEDO SOLAR ENERGY CORPORATION|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2025,UTILITIES,METRO CEBU WATER DISTRICT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|ENERGY|THERMA VISAYAS, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,CEBU CARRAGEENAN CORPORATION,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|ENERGY|TOLEDO POWER COMPANY|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,CEBU SUGAR PRODUCERS' COOPERATIVE (CEBU SUGARS),"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|BAMBOO PRODUCERS COOPERATIVE|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,DALAGUETE VEGETABLE GROWERS ASSOCIATION (DAVEGA),"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|MANUFACTURING|TSUNEISHI HEAVY INDUSTRIES (CEBU), INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,DEPARTMENT OF AGRICULTURE,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|MANUFACTURING|REPUBLIC CEMENT AND BUILDING MATERIALS, INC.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,M&C AGRICULTURAL INTEGRATED FARM INCORPORATED,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|METALS AND ENGINEERING|CEBU INTEGRATED STEEL MILLS (CISM)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,MADRIDEJOS FISHPORT,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|AGRICULTURE FORESTRY AND FISHERY|WELLISA FARM CORP.|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,SOUTHEAST CEBU COASTAL RESOURCE MANAGEMENT COUNCIL,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2026|AGRICULTURE FORESTRY AND FISHERY|CEBU SUGAR PRODUCERS' COOPERATIVE (CEBU SUGARS)|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AGRICULTURE FORESTRY AND FISHERY,TERRAZAS DE FLORES,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|TOURISM (HOTEL AND RESTAURANT)|BANTAYAN ISLAND NATURE PARK  AND RESORT|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOCENTRAL GROUP,"DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|TOURISM (HOTEL AND RESTAURANT)|MALAPASCUA EXOTIC ISLAND DIVE & BEACH RESORT|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,AUTOMOTIVE AND LAND TRANSPORTATION,"TOYOTA CEBU CITY, INC.","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION;  PROVISION OF TECHNICAL EXPERTS FOR RELEVANT TESD ACTIVITIES/INITIATIVES
",,,,,
,,,,,,,,"REGION VII|CEBU|2025|TOURISM (HOTEL AND RESTAURANT)|KANDAYA RESORT|DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",REGION VII,CEBU,2026,CREATIVE SECTOR,"
CEBU FURNITURE INDUSTRIES FOUNDATION INCORPORATED 
","DEVELOPMENT AND REVIEW OF TRAINING REGULATIONS (TR), COMPETENCY STANDARDS (CS) COMPETENCY-BASED CURRICULUM (CBC), COMPETENCY ASSESSMENT TOOLS (CATS); EXPANSION OF ASSESSMENT AND CERTIFICATION INFRASTRUCTURE, AND TVET PROGRAM REGISTRATION; IMPLEMENTATION OF EBET PROGRAMS;
IMPLEMENTATION OF RELEVANT TESD PROGRAMS; UPDATING OF PROVINCIAL SKILLS MAP; INPUTS TO POLICY FORMULATION; SUPPORT IN THE CONDUCT OF SKILLS COMPETITION; PROVISION OF TECHNICAL EXPERTS FOR RELEVANT ACTIVITIES/INITIATIVES
",,,,,
