Training Providers and Assessment Centers,,,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES ATTENDANT|FOOD AND BEVERAGE SERVICES NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES ATTENDANT,FOOD AND BEVERAGE SERVICES NC II,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,1,2,0,3,3,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD AND BEVERAGES|FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER)|FOOD AND BEVERAGE SERVICES NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD AND BEVERAGES,FOOD AND BEVERAGE SERVICES HIGHER QUALIFICATIONS (FBS SUPERVISOR/MANAGER),FOOD AND BEVERAGE SERVICES NC III,WITH TR,MEDIUM,,2,1,0,3,3,0,0,0,,2,2,0,4,4,1,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|ASSISTANT COOK|COOKERY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,ASSISTANT COOK,COOKERY NC II,WITH TR,MEDIUM,,1,0,0,1,1,0,0,2,,0,0,0,0,0,1,0,2
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COMMIS PASTRY
 BAKER|BREAD AND PASTRY PRODUCTION NC II|WITH TR|HIGH",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,"COMMIS PASTRY
 BAKER",BREAD AND PASTRY PRODUCTION NC II,WITH TR,HIGH,,2,1,0,3,3,0,0,2,,1,2,0,3,3,0,0,2
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|COOK OR COMMIS|COOKERY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,COOK OR COMMIS,COOKERY NC II,WITH TR,MEDIUM,,1,0,0,1,1,0,0,0,,0,1,0,1,1,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|FOOD PROCESSING (QUALITY CONTROLLER)|FOOD PROCESSING NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,FOOD PROCESSING (QUALITY CONTROLLER),FOOD PROCESSING NC II,WITH TR,MEDIUM,,2,1,0,3,3,1,0,0,,2,2,0,4,4,2,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE COLD MEALS|COOKERY NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE COLD MEALS,COOKERY NC II,WITH TR,HIGH,,6,0,0,6,6,0,0,0,,2,1,0,3,3,0,0,0
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|FOOD PRODUCTION|PREPARE HOT MEALS|COOKERY NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),FOOD PRODUCTION,PREPARE HOT MEALS,COOKERY NC II,WITH TR,HIGH,,3,2,0,5,5,0,0,0,,1,1,0,2,2,1,0,1
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)|TOUR GUIDING SERVICES NC III|WITH TR|MEDIUM",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOUR GUIDING, LOCAL GUIDING SERVICES (TOUR GUIDEFOREIGN LANGUAGE OTHER THAN ENGLISH)",TOUR GUIDING SERVICES NC III,WITH TR,MEDIUM,,2,1,0,3,3,1,0,0,,2,2,0,4,4,3,0,0
"REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|TRAVEL AND TOURS|TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)|TOURISM PROMOTION SERVICES NC II|WITH TR|MEDIUM",REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),TRAVEL AND TOURS,"TOURISM PROMOTIONS SERVICES (ONLINE TRAVEL ADVISOR, ONLINE TOURISM PROMOTIONAL MATERIAL DEVELOPER)",TOURISM PROMOTION SERVICES NC II,WITH TR,MEDIUM,,2,1,0,3,3,1,0,0,,2,2,0,4,4,2,0,0
